token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
показаны,показывать,pf,partcp,None,pl,praet,None,None,pass
принимают,принимать,ipf,fin,tran,pl,praes,indic,3,None
приведены,приводить,pf,partcp,None,pl,praet,None,None,pass
может,мочь,ipf,fin,intr,sg,praes,indic,3,None
удивиться,удивляться,pf,inf,intr,None,None,None,None,None
следует,следовать,ipf,fin,None,sg,praes,indic,3,None
помнить,помнить,ipf,inf,tran,None,None,None,None,None
стоят,стоять,ipf,fin,intr,pl,praes,indic,3,None
накопленный,накоплять,pf,partcp,tran,sg,praet,None,None,pass
является,являться,ipf,fin,intr,sg,praes,indic,3,None
начало,начинать,pf,fin,tran,sg,praet,indic,None,None
складываться,складываться,ipf,inf,intr,None,None,None,None,None
начиная,начинать,ipf,ger,tran,None,praes,None,None,None
вобравшие,вбирать,pf,partcp,tran,pl,praet,None,None,act
возникли,возникать,pf,fin,intr,pl,praet,indic,None,None
определились,определяться,pf,fin,intr,pl,praet,indic,None,None
дается,даваться,ipf,fin,intr,sg,praes,indic,3,None
отдаются,отдаваться,ipf,fin,intr,pl,praes,indic,3,None
подлежит,подлежать,ipf,fin,intr,sg,praes,indic,3,None
рассматривается,рассматриваться,ipf,fin,intr,sg,praes,indic,3,None
подарил,подарить,pf,fin,tran,sg,praet,indic,None,None
гласил,гласить,ipf,fin,tran,sg,praet,indic,None,None
ходят,ходить,ipf,fin,intr,pl,praes,indic,3,None
быть,быть,ipf,inf,intr,None,None,None,None,None
нарисовав,нарисовать,pf,ger,tran,None,praet,None,None,None
послан,посылать,pf,partcp,None,sg,praet,None,None,pass
посланного,посылать,pf,partcp,None,sg,praet,None,None,pass
помянутых,поминать,pf,partcp,tran,pl,praet,None,None,pass
ставить,ставить,ipf,inf,tran,None,None,None,None,None
учинится,учиняться,pf,fin,intr,sg,praes,indic,3,None
учинено,учинять,pf,partcp,tran,sg,praet,None,None,pass
будет,быть,None,fin,intr,sg,praes,indic,3,None
имел,иметь,ipf,fin,tran,sg,praet,indic,None,None
плавал,плавать,ipf,fin,intr,sg,praet,indic,None,None
считать,считать,ipf,inf,tran,None,None,None,None,None
отражало,отражать,ipf,fin,tran,sg,praet,indic,None,None
придали,придавать,pf,fin,tran,pl,praet,indic,None,None
утвержденный,утверждать,pf,partcp,tran,sg,praet,None,None,pass
считался,считаться,ipf,fin,intr,sg,praet,indic,None,None
развевался,развеваться,ipf,fin,intr,sg,praet,indic,None,None
принадлежавшем,принадлежать,ipf,partcp,intr,sg,praet,None,None,act
видели,видеть,ipf,fin,tran,pl,praet,indic,None,None
связывала,связывать,ipf,fin,tran,sg,praet,indic,None,None
появлялись,появляться,ipf,fin,intr,pl,praet,indic,None,None
были,быть,ipf,fin,intr,pl,praet,indic,None,None
вывешены,вывесить,pf,partcp,None,pl,praet,None,None,pass
пришлось,приходиться,pf,fin,intr,sg,praet,indic,None,None
конкурировать,конкурировать,ipf,inf,intr,None,None,None,None,None
произошло,происходить,pf,fin,intr,sg,praet,indic,None,None
утверждал,утверждать,ipf,fin,tran,sg,praet,indic,None,None
объявлял,объявлять,ipf,fin,tran,sg,praet,indic,None,None
иметь,иметь,ipf,inf,tran,None,None,None,None,None
объяснялись,объясняться,ipf,fin,intr,pl,praet,indic,None,None
соответствует,соответствовать,ipf,fin,intr,sg,praes,indic,3,None
была,быть,ipf,fin,intr,sg,praet,indic,None,None
основана,основывать,pf,partcp,None,sg,praet,None,None,pass
употреблялись,употребляться,ipf,fin,intr,pl,praet,indic,None,None
соответствует,соответствовать,ipf,fin,intr,sg,praes,indic,3,None
предписывалось,предписываться,ipf,fin,intr,sg,praet,indic,None,None
поднимать,подымать,ipf,inf,tran,None,None,None,None,None
истолковывали,истолковывать,ipf,fin,tran,pl,praet,indic,None,None
были,быть,ipf,fin,intr,pl,praet,indic,None,None
принадлежать,принадлежать,ipf,inf,intr,None,None,None,None,None
имели,иметь,ipf,fin,tran,pl,praet,indic,None,None
говоря,говорить,ipf,ger,tran,None,praes,None,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
узаконенным,узаконивать,pf,partcp,tran,sg,praet,None,None,pass
было,быть,ipf,fin,intr,sg,praet,indic,None,None
понято,понимать,pf,partcp,None,sg,praet,None,None,pass
сохранился,сохраняться,pf,fin,intr,sg,praet,indic,None,None
знал,знать,ipf,fin,tran,sg,praet,indic,None,None
вешали,вешать,ipf,fin,tran,pl,praet,indic,None,None
перевернутым,перевертывать,pf,partcp,tran,sg,praet,None,None,pass
считало,считать,ipf,fin,tran,sg,praet,indic,None,None
стала,становиться,pf,fin,intr,sg,praet,indic,None,None
оказался,оказываться,pf,fin,intr,sg,praet,indic,None,None
знали,знать,ipf,fin,tran,pl,praet,indic,None,None
явилось,являться,pf,fin,intr,sg,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
вручен,вручать,pf,partcp,tran,sg,praet,None,None,pass
вошел,входить,pf,fin,intr,sg,praet,indic,None,None
ратовали,ратовать,ipf,fin,intr,pl,praet,indic,None,None
объясняя,объяснять,ipf,ger,tran,None,praes,None,None,None
соответствовал,соответствовать,ipf,fin,intr,sg,praet,indic,None,None
считался,считаться,ipf,fin,intr,sg,praet,indic,None,None
олицетворял,олицетворять,ipf,fin,tran,sg,praet,indic,None,None
распространенным,распространять,pf,partcp,tran,sg,praet,None,None,pass
было,быть,ipf,fin,intr,sg,praet,indic,None,None
разделявшей,разделять,ipf,partcp,tran,sg,praet,None,None,act
была,быть,ipf,fin,intr,sg,praet,indic,None,None
осознана,осознавать,pf,partcp,tran,sg,praet,None,None,pass
было,быть,ipf,fin,intr,sg,praet,indic,None,None
исправлено,исправлять,pf,partcp,tran,sg,praet,None,None,pass
представил,представлять,pf,fin,tran,sg,praet,indic,None,None
повелел,повелеть,pf,fin,intr,sg,praet,indic,None,None
иметь,иметь,ipf,inf,tran,None,None,None,None,None
состоящий,состоять,ipf,partcp,intr,sg,praes,None,None,act
стало,становиться,pf,fin,intr,sg,praet,indic,None,None
опубликованное,опубликовывать,pf,partcp,None,sg,praet,None,None,pass
трактовало,трактовать,ipf,fin,tran,sg,praet,indic,None,None
признается,признаваться,ipf,fin,intr,sg,praes,indic,3,None
дозволить,дозволять,pf,inf,tran,None,None,None,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
употребляем,употреблять,ipf,partcp,tran,sg,praes,indic,1,pass
состоящий,состоять,ipf,partcp,intr,sg,praes,None,None,act
имели,иметь,ipf,fin,tran,pl,praet,indic,None,None
длилась,длиться,ipf,fin,intr,sg,praet,indic,None,None
завершилась,завершаться,pf,fin,intr,sg,praet,indic,None,None
ответило,отвечать,pf,fin,intr,sg,praet,indic,None,None
следует,следовать,ipf,fin,None,sg,praes,indic,3,None
считать,считать,ipf,inf,tran,None,None,None,None,None
определило,определять,pf,fin,tran,sg,praet,indic,None,None
считаться,считаться,ipf,inf,intr,None,None,None,None,None
имевшиеся,иметься,ipf,partcp,intr,pl,praet,None,None,act
были,быть,ipf,fin,intr,pl,praet,indic,None,None
быть,быть,ipf,inf,intr,None,None,None,None,None
заменены,заменять,pf,partcp,tran,pl,praet,None,None,pass
проходили,проходить,ipf,fin,tran,pl,praet,indic,None,None
утопала,утопать,ipf,fin,intr,sg,praet,indic,None,None
протянутых,протягивать,pf,partcp,tran,pl,praet,None,None,pass
началась,начинаться,pf,fin,intr,sg,praet,indic,None,None
принятым,принимать,pf,partcp,None,sg,praet,None,None,pass
подняли,подымать,pf,fin,None,pl,praet,indic,None,None
выпускались,выпускаться,ipf,fin,intr,pl,praet,indic,None,None
сжимающего,сжимать,ipf,partcp,tran,sg,praes,None,None,act
предложило,предлагать,pf,fin,tran,sg,praet,indic,None,None
сохранить,сохранять,pf,inf,tran,None,None,None,None,None
учитывая,учитывать,ipf,ger,tran,None,praes,None,None,None
может,мочь,ipf,fin,intr,sg,praes,indic,3,None
связываться,связываться,ipf,inf,intr,None,None,None,None,None
было,быть,ipf,fin,intr,sg,praet,indic,None,None
одобрено,одобрять,pf,partcp,tran,sg,praet,None,None,pass
обрел,обретать,pf,fin,None,sg,praet,indic,None,None
оставался,оставаться,ipf,fin,intr,sg,praet,indic,None,None
имела,иметь,ipf,fin,tran,sg,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
отказаться,отказываться,pf,inf,intr,None,None,None,None,None
было,быть,ipf,fin,intr,sg,praet,indic,None,None
приближающимися,приближаться,ipf,partcp,intr,pl,praes,None,None,act
потребовалось,потребоваться,pf,fin,intr,sg,praet,indic,None,None
решать,решать,ipf,inf,tran,None,None,None,None,None
заявил,заявлять,pf,fin,tran,sg,praet,indic,None,None
остается,оставаться,ipf,fin,intr,sg,praes,indic,3,None
употребляет,употреблять,ipf,fin,tran,sg,praes,indic,3,None
приходится,приходиться,ipf,fin,intr,sg,praes,indic,3,None
отправлять,отправлять,ipf,inf,tran,None,None,None,None,None
развеваться,развеваться,ipf,inf,intr,None,None,None,None,None
вывесить,вывешивать,pf,inf,None,None,None,None,None,None
вывесить,вывешивать,pf,inf,None,None,None,None,None,None
будет,быть,None,fin,intr,sg,praes,indic,3,None
разрешен,разрешать,pf,partcp,tran,sg,praet,None,None,pass
позвольте,позволять,pf,fin,tran,pl,None,imper,2,None
считать,считать,ipf,inf,tran,None,None,None,None,None
принято,принимать,pf,partcp,None,sg,praet,None,None,pass
утвердил,утверждать,pf,fin,None,sg,praet,indic,None,None
помещались,помещаться,ipf,fin,intr,pl,praet,indic,None,None
был,быть,ipf,fin,intr,sg,praet,indic,None,None
упразднен,упразднять,pf,partcp,tran,sg,praet,None,None,pass
