token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
наштукатуренных,наштукатурить,pf,partcp,tran,pl,praet,,,pass
протянутую,протянуть,pf,partcp,tran,sg,praet,,,pass
возводивших,возводить,ipf,partcp,tran,pl,praet,,,act
убеждены,убедить,pf,partcp,tran,pl,praet,,,pass
простирающаяся,простираться,ipf,partcp,intr,sg,praes,,,med
возмущена,возмутить,pf,partcp,tran,sg,praet,,,pass
томящим,томить,ipf,partcp,tran,sg,praes,,,act
сохраняемые,сохранять,ipf,partcp,tran,pl,praes,,,pass
связанных,связать,pf,partcp,tran,pl,praet,,,pass
перепутано,перепутать,pf,partcp,,sg,praet,,,pass
перевязано,перевязать,pf,partcp,,sg,praet,,,pass
расположенных,расположить,pf,partcp,tran,pl,praet,,,pass
заработанные,заработать,pf,partcp,tran,pl,praet,,,pass
осмысленной,осмыслить,pf,partcp,tran,sg,praet,,,pass
наступившем,наступить,pf,partcp,intr,sg,praet,,,act
сделано,сделать,pf,partcp,tran,sg,praet,,,pass
установлено,установить,pf,partcp,tran,sg,praet,,,pass
перепутано,перепутать,pf,partcp,,sg,praet,,,pass
шепчущие,шептать,ipf,partcp,tran,pl,praes,,,act
обсаженными,обсадить,pf,partcp,tran,pl,praet,,,pass
рассчитаны,рассчитать,pf,partcp,tran,pl,praet,,,pass
заманивающие,заманивать,ipf,partcp,tran,pl,praes,,,act
изучены,изучить,pf,partcp,tran,pl,praet,,,pass
установленного,установить,pf,partcp,tran,sg,praet,,,pass
окаймлённой,окаймить,pf,partcp,tran,sg,praet,,,pass
обнаружена,обнаружить,pf,partcp,tran,sg,praet,,,pass
образующих,образовать,ipf,partcp,tran,pl,praes,,,act
снята,снять,pf,partcp,tran,sg,praet,,,pass
показывающие,показывать,ipf,partcp,tran,pl,praes,,,act
сделано,сделать,pf,partcp,tran,sg,praet,,,pass
зарвавшемуся,зарваться,pf,partcp,intr,sg,praet,,,med
повязанную,повязать,pf,partcp,tran,sg,praet,,,pass
назревающий,назревать,ipf,partcp,intr,sg,praes,,,act
изложенные,изложить,pf,partcp,tran,pl,praet,,,pass
прошедшей,пройти,pf,partcp,tran,sg,praet,,,act
связан,связать,pf,partcp,tran,sg,praet,,,pass
обобщены,обобщить,pf,partcp,tran,pl,praet,,,pass
принят,принять,pf,partcp,tran,sg,praet,,,pass
оживлённые,оживить,pf,partcp,tran,pl,praet,,,pass
заложены,заложить,pf,partcp,tran,pl,praet,,,pass
стоптанного,стоптать,pf,partcp,tran,sg,praet,,,pass
украденные,украсть,pf,partcp,tran,pl,praet,,,pass
обнаружены,обнаружить,pf,partcp,tran,pl,praet,,,pass
выращенных,вырастить,pf,partcp,tran,pl,praet,,,pass
предложенным,предложить,pf,partcp,tran,sg,praet,,,pass
ушедшем,уйти,pf,partcp,intr,sg,praet,,,act
оставшиеся,остаться,pf,partcp,intr,pl,praet,,,med
привыкших,привыкнуть,pf,partcp,intr,pl,praet,,,act
напоминающих,напоминать,ipf,partcp,tran,pl,praes,,,act
связанная,связать,pf,partcp,tran,sg,praet,,,pass
выпустившего,выпустить,pf,partcp,tran,sg,praet,,,act
определена,определить,pf,partcp,tran,sg,praet,,,pass
влюблённые,влюбить,pf,partcp,tran,pl,praet,,,pass
разработан,разработать,pf,partcp,tran,sg,praet,,,pass
набегавших,набегать,ipf,partcp,intr,pl,praet,,,act
обусловленная,обусловить,pf,partcp,tran,sg,praet,,,pass
поставлены,поставить,pf,partcp,tran,pl,praet,,,pass
связанных,связать,pf,partcp,tran,pl,praet,,,pass
раскрытых,раскрыть,pf,partcp,tran,pl,praet,,,pass
замещённого,заместить,pf,partcp,tran,sg,praet,,,pass
разъярённый,разъярить,pf,partcp,tran,sg,praet,,,pass
показано,показать,pf,partcp,tran,sg,praet,,,pass
показано,показать,pf,partcp,tran,sg,praet,,,pass
нахмуренный,нахмурить,pf,partcp,tran,sg,praet,,,pass
назван,назвать,pf,partcp,tran,sg,praet,,,pass
выявлены,выявить,pf,partcp,tran,pl,praet,,,pass
брошенную,бросить,pf,partcp,tran,sg,praet,,,pass
учтён,учесть,pf,partcp,tran,sg,praet,,,pass
рассчитанной,рассчитать,pf,partcp,tran,sg,praet,,,pass
стоявший,стоять,ipf,partcp,intr,sg,praet,,,act
оживлённый,оживить,pf,partcp,tran,sg,praet,,,pass
подхваченная,подхватить,pf,partcp,tran,sg,praet,,,pass
уничтожены,уничтожить,pf,partcp,tran,pl,praet,,,pass
связан,связать,pf,partcp,tran,sg,praet,,,pass
проанализированы,проанализировать,pf,partcp,tran,pl,praet,,,pass
решено,решить,pf,partcp,tran,sg,praet,,,pass
упорядоченной,упорядочить,pf,partcp,tran,sg,praet,,,pass
погибавших,погибать,ipf,partcp,intr,pl,praet,,,act
созданный,создать,pf,partcp,tran,sg,praet,,,pass
залитой,залить,pf,partcp,tran,sg,praet,,,pass
помогшего,помочь,pf,partcp,intr,sg,praet,,,act
протянувшихся,протянуться,pf,partcp,intr,pl,praet,,,med
показано,показать,pf,partcp,tran,sg,praet,,,pass
проведено,провести,pf,partcp,tran,sg,praet,,,pass
описывающей,описывать,ipf,partcp,tran,sg,praes,,,act
занятому,занять,pf,partcp,tran,sg,praet,,,pass
напоённый,напоить,pf,partcp,tran,sg,praet,,,pass
заложено,заложить,pf,partcp,tran,sg,praet,,,pass
прошедшие,пройти,pf,partcp,tran,pl,praet,,,act
приготовленный,приготовить,pf,partcp,tran,sg,praet,,,pass
поглощённой,поглотить,pf,partcp,tran,sg,praet,,,pass
запачкано,запачкать,pf,partcp,tran,sg,praet,,,pass
показано,показать,pf,partcp,tran,sg,praet,,,pass
спешащие,спешить,ipf,partcp,intr,pl,praes,,,act
воспламеняемой,воспламенять,ipf,partcp,tran,sg,praes,,,pass
разрешены,разрешить,pf,partcp,tran,pl,praet,,,pass
сложенные,сложить,pf,partcp,tran,pl,praet,,,pass
предусмотрены,предусмотреть,pf,partcp,tran,pl,praet,,,pass
обвиняемой,обвинять,ipf,partcp,tran,sg,praes,,,pass
поднят,поднять,pf,partcp,tran,sg,praet,,,pass
вычислены,вычислить,pf,partcp,tran,pl,praet,,,pass
являющимся,являться,ipf,partcp,intr,pl,praes,,,med
возбуждённом,возбудить,pf,partcp,tran,sg,praet,,,pass
выполненных,выполнить,pf,partcp,tran,pl,praet,,,pass
полученные,получить,pf,partcp,tran,pl,praet,,,pass
совершившегося,совершиться,pf,partcp,intr,sg,praet,,,med
относящиеся,относиться,ipf,partcp,intr,pl,praes,,,med
замороженного,заморозить,pf,partcp,tran,sg,praet,,,pass
установлено,установить,pf,partcp,tran,sg,praet,,,pass
называемого,называть,ipf,partcp,tran,sg,praes,,,pass
отмечена,отметить,pf,partcp,tran,sg,praet,,,pass
высказанное,высказать,pf,partcp,tran,sg,praet,,,pass
привязанным,привязать,pf,partcp,tran,sg,praet,,,pass
поражённый,поразить,pf,partcp,tran,sg,praet,,,pass
разработан,разработать,pf,partcp,tran,sg,praet,,,pass
противоположенных,противоположить,pf,partcp,tran,pl,praet,,,pass
затрагивающих,затрагивать,ipf,partcp,tran,pl,praes,,,act
включающий,включать,ipf,partcp,tran,sg,praes,,,act
приводящих,приводить,ipf,partcp,tran,pl,praes,,,act
установлено,установить,pf,partcp,tran,sg,praet,,,pass
произошедшего,произойти,pf,partcp,intr,sg,praet,,,act
обусловленных,обусловить,pf,partcp,tran,pl,praet,,,pass
переодетые,переодеть,pf,partcp,tran,pl,praet,,,pass
следующий,следовать,ipf,partcp,intr,sg,praes,,,act
изученных,изучить,pf,partcp,tran,pl,praet,,,pass
обсижен,обсидеть,pf,partcp,tran,sg,praet,,,pass
окружённого,окружить,pf,partcp,tran,sg,praet,,,pass
изученной,изучить,pf,partcp,tran,sg,praet,,,pass
задержаны,задержать,pf,partcp,tran,pl,praet,,,pass
разбита,разбить,pf,partcp,,sg,praet,,,pass
выделенные,выделить,pf,partcp,tran,pl,praet,,,pass
опознано,опознать,pf,partcp,tran,sg,praet,,,pass
способствующим,способствовать,ipf,partcp,intr,sg,praes,,,act
задержанных,задержать,pf,partcp,tran,pl,praet,,,pass
завёрнутые,завернуть,pf,partcp,tran,pl,praet,,,pass
изучаемый,изучать,ipf,partcp,tran,sg,praes,,,pass
законченное,закончить,pf,partcp,tran,sg,praet,,,pass
определяющей,определять,ipf,partcp,tran,sg,praes,,,act
сбережённый,сберечь,pf,partcp,tran,sg,praet,,,pass
предоставлена,предоставить,pf,partcp,tran,sg,praet,,,pass
выделенные,выделить,pf,partcp,tran,pl,praet,,,pass
задержанных,задержать,pf,partcp,tran,pl,praet,,,pass
затопленном,затопить,pf,partcp,tran,sg,praet,,,pass
стоявшее,стоять,ipf,partcp,intr,sg,praet,,,act
заведено,завести,pf,partcp,tran,sg,praet,,,pass
возбуждённый,возбудить,pf,partcp,,sg,praet,,,pass
влекущей,влечь,ipf,partcp,tran,sg,praes,,,act
стыдящиеся,стыдиться,ipf,partcp,intr,pl,praes,,,med
выводящие,выводить,ipf,partcp,tran,pl,praes,,,act
исключено,исключить,pf,partcp,tran,sg,praet,,,pass
назвавшее,назвать,pf,partcp,tran,sg,praet,,,act
перечислены,перечислить,pf,partcp,tran,pl,praet,,,pass
отравляющих,отравлять,ipf,partcp,tran,pl,praes,,,act
просвечивающими,просвечивать,ipf,partcp,tran,pl,praes,,,act
запрещёнными,запретить,pf,partcp,tran,pl,praet,,,pass
выделенные,выделить,pf,partcp,tran,pl,praet,,,pass
пожелавшее,пожелать,pf,partcp,tran,sg,praet,,,act
