group,praes,fut,praet,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast
i1,0.34117548989432644,0.014299271570739715,0.3417205293936596,0.1526174720426798,0.026591515338052735,0.06466733353852468,0.008637273007079102,0.0344464963578537,0.00182107315071304,0.01402354570637119
p3,0.0,0.11762238739893283,0.7077614931146166,0.11191369387422234,0.018617331127525224,0.018058112170002562,0.012512524174569517,0.0,0.01351445814013095,0.0
i2,0.41817141403865715,0.010459053916581891,0.38790691759918616,0.10150686673448626,0.018215920651068158,0.02762589013224822,0.006103763987792472,0.02549593082400814,0.0013351983723296032,0.0031790437436419127
p1,0.014837711212218595,0.11179659354227627,0.4754029734621044,0.1699634659946214,0.02936674390677063,0.03658897552559918,0.01862219440826751,0.004570979145171929,0.13775941680902526,0.001090945993944827
i3,0.4250552498158339,0.012111626294579018,0.34378385405381984,0.11706460978463405,0.04244485851713828,0.02840490531698228,0.008709970966763445,0.020583264722450926,0.0006716644277852407,0.001169996100013
p2,0.0,0.13581407003696047,0.63434191568001,0.12857858798471467,0.03705443838877404,0.022364217252396165,0.016694856856480613,0.0,0.025151913800664037,0.0
