verb,factor1,factor2,group
взглянуть pf,230.049520582193,-52.5178182400524,1
расположить pf,-59.0166237310022,-51.8597728458957,1
поверить pf,131.513258984419,-51.7106172664297,1
прочесть pf,181.420389720291,-51.429316454292,1
заставить pf,154.499157976826,-51.3685981879476,1
встретиться pf,191.106417164286,-51.2838690784085,1
послать pf,130.710668648093,-51.2769751324366,1
наступить pf,196.046141795059,-51.0898349299963,1
проснуться pf,201.024170502957,-50.580155191377,1
записать pf,76.0466056843397,-50.2500311255014,1
посадить pf,108.840556900989,-49.5233552656519,1
перейти pf,181.94118459968,-49.4853861143025,1
схватить pf,203.667365367968,-49.3163782707814,1
достигнуть pf,123.437004530978,-49.2874041496944,1
найтись pf,129.667601987931,-47.9857870619761,1
вынуть pf,230.440221275001,-47.8601425732122,1
закончить pf,113.183325440299,-47.5312606175976,1
выясниться pf,231.872582376529,-47.1683601774773,1
превратиться pf,178.121486853335,-47.1580105162339,1
признать pf,74.7540515806135,-46.2154510651838,1
поразить pf,107.484846916521,-45.6224554077074,1
явиться pf,224.679634198655,-45.5241976855632,1
обратиться pf,215.793732949673,-45.3861967649522,1
простить pf,-24.6948499803339,-45.0413145139904,1
включить pf,59.9242705189055,-44.4825035478705,1
обратить pf,91.3110317370843,-44.316862952682,1
разработать pf,0.220361262004564,-44.1298927311255,1
продать pf,53.8993454824148,-44.1164882461823,1
поглядеть pf,185.398612819343,-43.9809579336932,1
прожить pf,118.318557583977,-43.830496225031,1
попробовать pf,40.8256227057005,-43.474969382962,1
приказать pf,152.619845117709,-43.3275316221262,1
сойти pf,152.988068100226,-43.0555623773669,1
повезти pf,174.793137146156,-42.970757335349,1
подать pf,142.604598964823,-42.9149116487644,1
описать pf,0.176639234076115,-42.8626380650041,1
арестовать pf,57.3839516809907,-42.8194370478628,1
повести pf,176.610789096801,-42.6397530227115,1
догадаться pf,175.505719288228,-42.4541079804987,1
подтвердить pf,173.624876442095,-42.4227719074866,1
совершить pf,83.4778983288035,-42.3210472725376,1
разрешить pf,60.7712641255,-42.256412643886,1
опустить pf,118.146720162086,-41.7554415017287,1
пожать pf,211.583810030938,-41.7427533190819,1
открыться pf,168.41540847147,-41.6994717162057,1
отойти pf,158.916512058636,-41.1449279085256,1
отпустить pf,102.360559016392,-41.0670751456842,1
устать pf,175.235376282071,-40.8530397421431,1
выступить pf,146.453133542037,-40.7624392202904,1
выпустить pf,87.8647327744977,-40.7347833201458,1
произвести pf,84.5293708855787,-40.7249355199872,1
сыграть pf,119.753844564079,-39.4446780389123,1
допустить pf,-7.24336257262934,-39.4136991008233,1
выполнить pf,32.5893847381882,-39.3474116951416,1
подарить pf,121.784727911222,-39.1326781908933,1
спасти pf,70.9240288975251,-39.0932854645074,1
отправиться pf,186.077592992082,-38.9376607196854,1
обернуться pf,160.37207092089,-38.8211758531409,1
кончить pf,92.0530111156299,-38.8034444748513,1
обрадоваться pf,193.032542181859,-38.6044711409505,1
прислать pf,106.219380967902,-38.3720037585075,1
выделить pf,11.5455389313876,-38.2400601100329,1
подготовить pf,32.3475029393604,-38.1560578516299,1
пустить pf,75.4919442094402,-37.982150308951,1
съесть pf,92.8969832957258,-37.9609725311909,1
обойтись pf,63.7155004048241,-37.81875108017,1
сохраниться pf,175.771506905441,-37.8021503322779,1
отправить pf,84.2760513104749,-37.7882429895561,1
запретить pf,22.1164595002122,-37.6110711364196,1
раздаться pf,195.706853886072,-37.4410297263916,1
забрать pf,108.967439304413,-37.3213640357186,1
опубликовать pf,3.35001703375607,-37.2964312504879,1
выдержать pf,102.046023891068,-37.2584100673437,1
перевести pf,119.500862494698,-37.1343587469809,1
покрыть pf,-33.5978829838689,-36.8725452037956,1
приобрести pf,99.5747300242674,-36.8129503950598,1
вынудить pf,-24.1027341516589,-36.7640077796699,1
броситься pf,177.961171872368,-36.6083931993536,1
надеть pf,119.653808029243,-36.516113039546,1
предусмотреть pf,-35.4600249835994,-36.370651209006,1
изменить pf,71.7113243953373,-36.2748850763759,1
охватить pf,82.5727948872637,-35.5937320135014,1
выдать pf,57.6336362664074,-35.5204502639807,1
попытаться pf,120.624455687932,-35.3810089271788,1
испугаться pf,161.772689115817,-35.3024788296143,1
сделаться pf,150.181035224189,-35.2842416247262,1
позвать pf,123.570104601618,-35.203154853417,1
заключить pf,30.6214426850883,-34.5420568179988,1
напомнить pf,64.6322417311044,-34.4516392824176,1
остановить pf,110.987863860751,-34.2851848814349,1
сложить pf,33.0085484313842,-34.135804223528,1
вскочить pf,168.113331451405,-33.8458424169501,1
оглянуться pf,151.604124322925,-33.7882415518264,1
достаться pf,124.484045267289,-33.6804866767744,1
образоваться pf,50.769029673656,-33.523301874537,1
распространить pf,-33.2253710231294,-33.3487367690992,1
надоесть pf,133.490399823971,-33.2405287183634,1
обязать pf,-31.0974356781974,-33.1735242598113,1
вытащить pf,139.45126767585,-33.1190436937388,1
расстрелять pf,45.0608775901901,-32.6383214818481,1
задать pf,54.3971310206664,-32.4054255570281,1
выиграть pf,94.0506783635194,-32.3732010753013,1
развести pf,109.691232602514,-32.2841055627329,1
отвести pf,69.0734157647261,-32.0217471110292,1
налить pf,97.3434980008218,-32.0092309788998,1
уверить pf,-27.7714367540597,-31.9480655284022,1
постоять pf,87.4161722563642,-31.9371493656261,1
прочитать pf,86.6130103015516,-31.9301956135313,1
внести pf,73.5188664177417,-31.856606116807,1
лишить pf,4.54469470697367,-31.8520865638208,1
ввести pf,42.7146498879359,-31.7824445946498,1
окружить pf,7.90809444233852,-31.5157341890981,1
соединить pf,-12.6766173979103,-31.5086016918417,1
раскрыть pf,52.7119653747897,-31.4801294858685,1
рассмотреть pf,-10.2360171510545,-31.4581721932442,1
потребовать pf,90.2922001182103,-31.2912246715256,1
вывести pf,65.9747346284043,-31.1706323879282,1
сложиться pf,123.581276448329,-31.0832043565468,1
разбить pf,16.1507991812805,-31.0718767019764,1
закончиться pf,99.5057195569753,-30.9329052573229,1
заработать pf,48.2543458667279,-30.894416565727,1
основать pf,-26.2036402471552,-30.8653930195311,1
предназначить pf,-43.3815890907385,-30.7331937742196,1
победить pf,51.3742502033291,-30.6494452201598,1
добиться pf,85.5892756841656,-30.6186359057012,1
договориться pf,109.260306403587,-30.5570628733228,1
заболеть pf,119.171089616375,-30.5124855101405,1
сдать pf,61.9446047981648,-30.3979848626318,1
организовать pf,29.9235649181704,-30.3193199748716,1
научиться pf,125.932468581414,-30.0761139524738,1
приняться pf,132.563085356583,-30.0158400765752,1
проверить pf,24.8926832600814,-30.0140594127765,1
сохранить pf,54.6109153848024,-30.0018148813914,1
познакомиться pf,128.657644465318,-29.9375656840676,1
