"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"врать ipf",-0.447134675448994,0.281316843915241,0.0346888711729929,0.0777940325724879,0.0687427428734817,0.0255233567953538,-0.0013085688695541,-0.0109748960792596,7.58724680305356e-16
"вскочить pf",0.510415527780529,-0.00195138928540387,0.0278372390991723,0.00286837952546916,-0.00919084256317037,-0.00801326868508004,-0.0124111866960631,0.0118841659977223,-2.05998412772246e-17
"вспоминать ipf",-0.0757509253260548,0.100313303359425,-0.0320932188734344,-0.00807517221952291,-0.0438014988380416,0.049599525760035,-0.00936093408065285,-0.000500267737328451,-3.68628738645072e-17
"вспомнить pf",0.219561163171225,-0.0316821937588882,-0.096744632283738,-0.0413870718510123,0.0256917898231817,0.00746264364591102,-0.0127649457075676,0.00656109438558326,-3.39788960856957e-16
"вспыхнуть pf",0.382734115564832,0.0539145343366909,0.078455989267227,0.00125513509718282,0.00379003177802746,-0.0289253659861466,0.0593648525378162,-0.0338483667012141,-1.23273787011602e-15
"вставать ipf",-0.141939271833883,0.0796429790629846,-0.0496056896216317,-0.105467551575164,0.0640739147079136,0.0341965161496768,-0.00922149164781815,-0.00184354799153233,-5.75711353589803e-16
"вставить pf",0.0781474137206488,-0.113265583608815,-0.0420571919938219,0.042078276541124,0.000608159687385959,-0.00126462219781226,-0.0123322534465143,0.00513663367400579,6.33824590035026e-16
"встать pf",0.378970659600042,-0.00268634884257271,-0.0195457271904442,0.00560541753941329,0.00848876755207524,-0.00963493023032631,-0.00683356007085408,0.006064969576507,-1.43331527202584e-16
"встретить pf",0.138417014314076,0.0057808124939952,-0.0358219853543155,0.0251505804512525,-0.0139088208302881,0.012518913501637,-0.00748082695086881,0.00143839325109768,1.8626593323301e-16
"встретиться pf",0.152150534737979,-0.00422736384405608,-0.116768600634368,0.0418903238314766,0.000313000034590925,0.00120234158495979,-0.0129931007045128,0.00430666197867355,1.59811400224363e-16
"встречать ipf",0.0174312626896079,0.0815414106338344,-0.00808385472369226,-0.0169331967327595,-0.0321607198118903,-0.0159913161082002,0.0122908645352535,-0.00537355238913287,-7.76722436368615e-16
"встречаться ipf",-0.166661986066233,0.21536121297736,0.0576577219215879,0.0539855808779664,0.0151437750411659,0.0313276086786711,-0.00581037247937998,-0.00428354854441566,6.10839503978333e-16
"вступать ipf",-0.334826256936065,0.172135638117268,-0.0461429834273069,0.0450322524599975,-0.00930925216002299,-0.00956979884279646,-0.016095987271557,-0.00932644407696183,3.04227129599433e-16
"вступить pf",0.201036583204283,-0.0544729448016478,-0.148925691209501,0.0256709701915581,-0.0190872874700027,-0.00643896097076895,0.0165420323783746,-0.0137948688456187,-5.80481843148739e-16
"входить ipf",-0.241521817066971,0.219416061542987,0.107984934537581,-0.0526041695475387,-0.0427531366285302,-0.0854433693859364,-0.0156999670368892,-0.0187999074700732,-6.74156910851487e-16
"выбирать ipf",-0.238893517231865,0.0342275366905796,-0.169041667417067,-0.0174324356603719,-0.0228642713868885,0.0395965762967509,0.00131912826219261,0.00488756667716117,-5.40366362766775e-16
"выбрать pf",0.0290585594320869,-0.163922179475292,-0.00945848457961591,0.0171204433685896,-0.000881739992546489,0.00399087115886721,-0.00613964648979046,0.0015011167804109,5.92191226611583e-16
"выбраться pf",0.142582400355026,-0.101581912787567,-0.250702550081487,0.0525289504004273,-0.0383540227588334,0.00667609005101604,-0.0153709728477478,0.00314954012302762,-4.55364912443912e-18
"выбросить pf",0.0384495121613708,-0.182953183427731,-0.0108140899125493,0.0135191674637576,0.0196661639903978,-0.00334563246087442,-0.0119014924407413,0.00606268956671302,7.10152422978005e-16
"вывести pf",0.0120793441042852,-0.127941299122075,-0.0471080269853045,0.0581478798911156,0.0105483074299847,-0.00833182165325767,-0.00773249910090872,0.00164391942281394,7.41377445545588e-16
"выводить ipf",-0.110840672185999,0.121319872453108,-0.0351731548231499,0.0482670803614427,-0.00224956328356576,-0.0202729203979165,-0.00242922466419856,-0.000196534391324081,1.2793585635329e-17
"выглядеть ipf",0.088002709746044,0.166428031243549,0.0828221605584024,0.0525161123043107,0.0271898665922817,0.00124402461952079,-0.00250358056230707,-0.000967784447204371,4.40836603332606e-16
"выгнать pf",0.130618460154118,-0.0194033149430165,0.040011033891555,0.0458920015028216,0.0100835937864109,-0.00473733005946848,-0.00527753986159789,0.00234465945021199,5.92624907480577e-16
"выдавать ipf",-0.0983734795098411,0.0880189148882143,-0.048731231276581,0.0158793858318009,-0.0196823275914413,-0.0273869432688695,0.02758551288748,0.0130383990088459,-1.01134378649448e-15
"выдать pf",-0.0528982972547334,-0.113772899892393,-0.000341958126129128,0.0412343617838796,0.0132087448881207,-0.00151701426847481,0.000343606207166985,-0.00372254103950049,6.61580165650655e-16
"выдвинуть pf",0.179686599756238,-0.120751189903263,0.0483027709115801,0.0119432781491481,-0.00596161906757552,-0.00273409908493418,0.00199072509145946,-0.000699280309467379,3.66677174734598e-16
"выделить pf",-0.22580644077777,-0.363205198408244,0.0336308840234855,0.0349501858125243,-0.0052762314379548,0.0024812704776387,-0.00124642870929613,-0.00293823267577618,1.41575119683157e-15
"выделяться ipf",-0.036519960145267,0.205494248966084,0.0855361674956455,0.0595338682916048,0.0408194643719056,0.00944800576046117,-0.00675066276669297,-0.00012115737336552,6.13007908323304e-16
"выдержать pf",0.124760473413683,-0.0062868402910875,4.52493494197605e-05,0.0104574878080158,-0.0294771869121678,0.0214935218545279,-0.00201397497421165,-0.00196660021735465,1.17744355931926e-16
"выдумать pf",0.090354577434837,-0.25019586914163,0.136863332685913,0.0310544901816627,0.00579093331854966,-0.0128136158971119,-0.00413618860037368,0.00494280548766148,1.21669167796323e-15
"выехать pf",0.24892042721506,-0.0451126066324151,-0.113221886148616,0.0226812837083579,-0.02448401486008,-0.0127454363226413,0.0334166722101929,-0.023100929128938,-8.39389321938278e-16
"выжить pf",0.00266149690068425,-0.120098516593274,-0.314936512268454,0.0766072194321464,-0.0183779609954881,-0.0288625184667728,0.0514155148420951,-0.0405620907000008,-1.1217155676535e-15
"вызвать pf",0.04741629126027,-0.112747483425779,0.032710339166888,0.0249159053957665,0.0110337340889645,-0.0047098921470766,0.00494909495282253,-0.00446968403319462,4.67291136341252e-16
"вызывать ipf",-0.0898419433971501,0.185763413138024,0.0824718274103344,0.00440027548001625,-0.0056513288687703,-0.0234845896860673,0.0117647796956957,0.00380315820328036,-4.70977423727703e-16
"выиграть pf",0.0803977922652175,-0.0769370667424954,-0.126207705579682,0.0363183391187834,-0.0211932777230697,-0.00101444217990125,0.0161442092430551,-0.0149549056736355,-2.8124204354274e-16
"выйти pf",0.341634510134354,0.0293004669680815,0.0205427064171542,0.000895881169496403,-0.00423358265814151,-0.00850129867478827,0.0199566637157303,-0.0111817203353359,-5.94359630956554e-16
"вылезти pf",0.392339158147056,0.0353367150329707,0.0389276672543109,0.0198458879619754,0.00620077849988072,-0.0232119018965149,0.0245101662456568,-0.0125241879259494,-5.87420737052646e-16
"вылететь pf",0.325365837239345,0.0301253895382179,0.0142594053973562,0.00524015384142695,-0.0168967609681232,-0.00213370391685544,0.0172846755156489,-0.0103226120042875,-4.64689051127287e-16
"выложить pf",-0.0249549141890531,-0.138295599633712,-0.055571985736728,0.00110613421882797,-0.018804079583567,0.0238034686638946,-0.0118341438512177,0.00244059304076963,4.39535560725623e-16
"вымыть pf",-0.0452102615689235,-0.244481315690614,-0.00306285407787163,-0.0222855753097534,0.0307735888059904,0.00341199952884825,-0.0112357786786519,0.00535427735341622,6.82396847362376e-16
"вынести pf",0.0626917182177151,-0.128005706058032,-0.066723132483554,0.0501979461765731,0.0107657582805453,-0.0116357319023307,-0.00418869791581625,-5.21018186187489e-05,5.20633883227539e-16
"выносить ipf",-0.0438426082863482,0.0975613338374567,-0.0431590501824785,0.0339902159313192,0.0127300723919096,0.00707841163905809,-0.0020742521172003,0.0110045387032023,1.73472347597681e-18
"вынудить pf",-0.354495525599239,-0.483747823045064,0.40817270903639,0.020326639601619,0.0157701405279964,0.00513178956266905,-0.00611715604121075,0.00626733221686046,2.93753736613223e-15
"вынуть pf",0.450320283528413,-0.040041546078297,0.0444466001090091,-0.0218318780903821,9.50653196770532e-05,-0.00294500373862478,-0.012943579391516,0.0121657065252478,1.06251812903579e-17
"выпасть pf",0.31383167286496,0.0131589839985802,0.0679730321842169,-0.058556039949392,-0.0133162379609171,-0.0604941329992496,0.195621051612914,-0.119525068877376,-4.06597498725514e-15
"выпивать ipf",0.0447643309609366,0.0417103393594384,-0.087500946137871,0.0415031709806051,-0.00237466794600195,-0.0388985215491317,-0.020286312154943,0.00137258027566129,1.20346441145891e-16
"выпить pf",0.0128434383255345,-0.0476604127396221,-0.120998780136778,-0.0406020202520754,0.0335992961419565,0.00869159877965672,0.00809969520760887,-0.00970340817525493,-5.94359630956554e-16
"выполнить pf",-0.185753314679256,-0.265660146882975,-0.0314458439954805,0.0547975690062613,0.00446527296064508,-0.00211722574270907,-0.00459984283582087,-0.00200310844911712,1.16118052673198e-15
"выполнять ipf",-0.287147914215163,0.0893244314825976,-0.0920623467372099,-0.0101429338959638,-0.0280247720439669,-0.047531673683549,0.0346020693410643,0.0341972511568612,-1.63757896132211e-15
"выпускать ipf",-0.215689375732424,0.0758341003722584,-0.0624758179373028,-0.0601907130706152,-0.0938762646678182,0.0301248419245441,0.0432122700428131,0.0584776622005431,-2.0122792321331e-15
"выпустить pf",0.0494249259578561,-0.117270701164862,0.0612697390546093,0.0325864133573436,0.0062970722216355,-0.000979774739998239,-0.00461433422226612,0.00186194893070717,8.00358043728799e-16
"выражать ipf",-0.0353999619892751,0.101049861952734,0.0218751481550851,-0.0520244178072062,-0.0570984125984356,-0.0688887036541888,-0.00662626122543096,-0.011203684482119,-9.62426786757595e-16
"выражаться ipf",-0.188601738840566,0.132233946226692,-0.0348213387865298,0.00455124186408917,-0.054200610378374,0.0694174842406848,-0.00819893922478249,-0.00623155264004329,1.73689188032178e-16
"выразить pf",-0.0809770274589989,-0.257650450936395,-0.128403157178062,0.0517587629775972,-0.00700391834255116,-0.0096803592103384,0.00685974733652874,-0.00946558541693944,4.81168924149067e-16
"выразиться pf",0.314527399277416,-0.0670668289050553,-0.153763115356221,0.0658691502395858,0.000171909206270031,-0.0217672238968921,-0.0156454619158349,0.00872214458711247,1.89735380184963e-16
"вырасти pf",0.281809521336983,0.0547334814520089,0.0566540974305354,-0.00328137343537322,-0.00134928128822389,-0.0322612532408291,0.092382061480954,-0.0564509396101448,-1.80389557458138e-15
