lemma,form,frequency
зацвести,pf,fin_praet_indic_act,5
зацвести,pf,fin_fut_indic_act,5
зацвести,pf,inf_act,1
зацветать,ipf,fin_praes_indic_act,8
зацветать,ipf,fin_praet_indic_act,2
зацветать,ipf,partcp_praet_act,1
зацветать,ipf,partcp_praes_act,1
зацепить,pf,fin_praet_indic_act,16
зацепить,pf,ger_praet_act,4
зацепить,pf,fin_fut_indic_act,1
зацепить,pf,inf_act,1
зацепиться,pf,fin_praet_indic_med,23
зацепиться,pf,inf_med,13
зацепиться,pf,fin_fut_indic_med,5
зацепиться,pf,ger_praet_med,4
зацепиться,pf,partcp_praet_med,2
зацеплять,ipf,fin_praes_indic_act,1
зацикливаться,ipf,inf_med,3
зацикливаться,ipf,fin_praet_indic_med,1
зациклиться,pf,fin_praet_indic_med,4
зачаровать,pf,partcp_praet_pass,10
зачаровать,pf,fin_praet_indic_act,1
зачать,pf,partcp_praet_pass,3
зачать,pf,fin_praet_indic_act,3
зачать,pf,inf_act,1
зачаться,pf,fin_fut_indic_med,1
зачаться,pf,inf_med,1
зачаться,pf,fin_praet_indic_med,1
зачахнуть,pf,inf_act,2
зачахнуть,pf,fin_praet_indic_act,1
зачахнуть,pf,fin_fut_indic_act,1
зачеркнуть,pf,fin_praet_indic_act,4
зачеркнуть,pf,partcp_praet_pass,4
зачеркнуть,pf,inf_act,2
зачеркнуть,pf,fin_fut_indic_act,1
зачернить,pf,partcp_praet_pass,1
зачерпнуть,pf,fin_praet_indic_act,4
зачерпнуть,pf,inf_act,1
зачерпывать,ipf,fin_praet_indic_act,2
зачерпывать,ipf,ger_praes_act,2
зачерпывать,ipf,inf_act,1
зачерстветь,pf,partcp_praet_act,2
зачерстветь,pf,fin_praet_indic_act,1
зачесать,pf,partcp_praet_pass,14
зачесать,pf,fin_praet_indic_act,2
зачесать,pf,fin_fut_pass,1
зачесть,pf,fin_imper_act,2
зачесть,pf,fin_praet_indic_act,2
зачесть,pf,fin_fut_indic_act,2
зачесться,pf,fin_fut_indic_med,4
зачехлить,pf,fin_praet_indic_act,1
зачехлить,pf,partcp_praet_pass,1
зачинать,ipf,fin_praet_indic_act,1
зачинать,ipf,fin_praes_indic_act,1
зачинаться,ipf,fin_praes_indic_med,1
зачинить,pf,partcp_praet_pass,1
зачислить,pf,fin_praet_indic_act,9
зачислить,pf,partcp_praet_pass,8
зачислить,pf,fin_fut_pass,4
зачислить,pf,inf_act,3
зачислить,pf,fin_fut_indic_act,1
зачислиться,pf,fin_fut_indic_med,1
зачислять,ipf,inf_act,2
зачислять,ipf,fin_praet_indic_act,2
зачислять,ipf,fin_praes_indic_act,2
зачисляться,ipf,fin_fut_med,1
зачистить,pf,inf_act,4
зачистить,pf,partcp_praet_pass,3
зачитать,pf,fin_praet_indic_act,7
зачитать,pf,partcp_praet_pass,5
зачитать,pf,inf_act,2
зачитать,pf,fin_fut_indic_act,2
зачитать,pf,fin_fut_pass,2
зачитаться,pf,inf_med,1
зачитывать,ipf,fin_praet_indic_act,9
зачитывать,ipf,fin_praes_indic_act,1
зачитывать,ipf,fin_fut_act,1
зачитываться,ipf,fin_praet_indic_med,13
зачитываться,ipf,fin_praes_indic_med,4
зачищать,ipf,fin_praes_indic_act,7
зачищать,ipf,fin_praet_indic_act,3
зачищать,ipf,inf_act,2
зашаркать,pf,fin_praet_indic_act,4
зашаркать,pf,partcp_praet_pass,1
зашвырнуть,pf,fin_praet_indic_act,2
зашвырнуть,pf,inf_act,1
зашибать,ipf,fin_praes_indic_act,2
зашибать,ipf,ger_praes_act,1
зашибаться,ipf,fin_praes_indic_med,1
зашибить,pf,fin_praet_indic_act,3
зашибить,pf,fin_fut_indic_act,1
зашибиться,pf,fin_praet_indic_med,4
зашивать,ipf,fin_praet_indic_act,3
зашивать,ipf,fin_praes_indic_act,3
зашивать,ipf,inf_act,1
зашивать,ipf,partcp_praet_act,1
зашить,pf,partcp_praet_pass,14
зашить,pf,fin_praet_indic_act,9
зашить,pf,inf_act,5
зашить,pf,fin_fut_indic_act,3
зашиться,pf,fin_praet_indic_med,4
зашиться,pf,inf_med,1
зашифровать,pf,partcp_praet_pass,4
зашифровать,pf,fin_fut_pass,2
зашифровывать,ipf,inf_act,1
зашкаливать,ipf,fin_praes_indic_act,4
зашкаливать,ipf,fin_praet_indic_act,1
зашкаливать,ipf,partcp_praes_act,1
зашкалить,pf,fin_praet_indic_act,4
зашнуровать,pf,partcp_praet_pass,3
зашнуровать,pf,fin_praet_indic_act,1
зашнуровать,pf,fin_fut_pass,1
зашнуровывать,ipf,fin_praet_indic_act,1
зашорить,pf,partcp_praet_pass,2
зашпаклевать,pf,inf_act,1
зашпаклевать,pf,fin_praet_indic_act,1
зашпунтовать,pf,partcp_praet_pass,1
заштопать,pf,partcp_praet_pass,4
заштопать,pf,inf_act,2
заштопать,pf,fin_praet_indic_act,1
заштопывать,ipf,inf_act,1
зашторить,pf,partcp_praet_pass,6
заштриховать,pf,partcp_praet_pass,4
заштриховать,pf,inf_act,1
заштукатурить,pf,inf_act,1
заштукатурить,pf,partcp_praet_pass,1
защемить,pf,fin_praet_indic_act,12
защемить,pf,partcp_praet_pass,2
защемить,pf,inf_act,1
защемить,pf,fin_fut_indic_act,1
защемлять,ipf,fin_praet_indic_act,1
защемлять,ipf,fin_praes_indic_act,1
защипать,pf,fin_praet_indic_act,1
защипать,pf,partcp_praet_pass,1
защипнуть,pf,inf_act,1
защитить,pf,inf_act,55
защитить,pf,partcp_praet_pass,41
защитить,pf,fin_praet_indic_act,35
защитить,pf,fin_fut_indic_act,16
защитить,pf,fin_fut_pass,8
защитить,pf,ger_praet_act,2
защитить,pf,partcp_praet_act,1
защитить,pf,fin_imper_act,1
защититься,pf,inf_med,7
защититься,pf,fin_praet_indic_med,1
защищать,ipf,fin_praes_indic_act,62
защищать,ipf,inf_act,62
защищать,ipf,fin_praet_indic_act,61
защищать,ipf,ger_praes_act,18
защищать,ipf,fin_fut_act,11
защищать,ipf,partcp_praes_act,7
защищать,ipf,fin_imper_act,4
защищать,ipf,partcp_praet_act,3
защищать,ipf,fin_fut_indic_act,1
защищаться,ipf,ger_praes_med,8
защищаться,ipf,inf_med,7
защищаться,ipf,fin_praes_indic_med,5
защищаться,ipf,fin_praet_indic_med,5
защищаться,ipf,partcp_praes_med,1
защищаться,ipf,fin_fut_med,1
защищаться,ipf,fin_imper_med,1
защищаться,ipf,partcp_praet_med,1
заявить,pf,fin_praet_indic_act,451
заявить,pf,inf_act,51
заявить,pf,partcp_praet_pass,32
заявить,pf,fin_fut_indic_act,16
заявить,pf,ger_praet_act,13
заявить,pf,partcp_praet_act,11
заявить,pf,fin_fut_pass,5
заявить,pf,fin_imper_act,1
заявить,pf,fin_fut_act,1
заявиться,pf,fin_praet_indic_med,12
заявиться,pf,fin_fut_indic_med,4
заявиться,pf,fin_fut_med,1
заявлять,ipf,fin_praes_indic_act,50
заявлять,ipf,fin_praet_indic_act,36
заявлять,ipf,inf_act,9
заявлять,ipf,ger_praes_act,8
заявлять,ipf,partcp_praes_act,3
заявлять,ipf,partcp_praet_act,1
заявлять,ipf,partcp_praes_pass,1
заявляться,ipf,fin_praet_indic_med,6
заявляться,ipf,fin_praes_indic_med,3
заявляться,ipf,fin_imper_med,1
звать,ipf,fin_praet_indic_act,370
звать,ipf,fin_praes_indic_act,305
звать,ipf,inf_act,70
звать,ipf,fin_imper_act,28
звать,ipf,fin_fut_act,7
звать,ipf,partcp_praes_act,5
звать,ipf,partcp_praet_act,2
звать,ipf,partcp_praet_pass,1
звать,ipf,fin_fut_pass,1
звать,ipf,fin_praes_indic,1
звать,ipf,fin_fut_indic_act,1
звать,ipf,fin_fut_imper_act,1
звенеть,ipf,fin_praet_indic_act,52
звенеть,ipf,fin_praes_indic_act,25
звенеть,ipf,partcp_praes_act,6
звенеть,ipf,ger_praes_act,6
звенеть,ipf,inf_act,5
звенеть,ipf,partcp_praet_act,3
звенеть,ipf,fin_imper_act,1
звереть,ipf,inf_act,3
звереть,ipf,fin_praet_indic_act,3
звереть,ipf,fin_praes_indic_act,2
звонить,ipf,fin_praet_indic_act,297
звонить,ipf,fin_praes_indic_act,153
звонить,ipf,inf_act,109
звонить,ipf,fin_imper_act,50
звонить,ipf,fin_fut_act,8
звонить,ipf,ger_praes_act,2
звонить,ipf,partcp_praes_act,1
звонить,ipf,fin_fut_imper_act,1
звонить,ipf,partcp_praet_act,1
звучать,ipf,fin_praet_indic_act,212
звучать,ipf,fin_praes_indic_act,164
звучать,ipf,inf_act,20
звучать,ipf,partcp_praes_act,10
звучать,ipf,partcp_praet_act,8
звучать,ipf,fin_fut_act,6
звучать,ipf,ger_praes_act,2
звучать,ipf,fin_fut_indic_act,1
здороваться,ipf,fin_praet_indic_med,29
здороваться,ipf,fin_praes_indic_med,21
здороваться,ipf,inf_med,20
здороваться,ipf,ger_praes_med,11
зеленеть,ipf,fin_praet_indic_act,18
зеленеть,ipf,partcp_praes_act,3
зеленеть,ipf,inf_act,2
зеленеть,ipf,ger_praes_act,2
зеленеть,ipf,partcp_praet_act,1
зимовать,ipf,fin_praes_indic_act,6
зимовать,ipf,inf_act,6
зимовать,ipf,fin_praet_indic_act,2
зимовать,ipf,partcp_praet_act,1
зимовать,ipf,fin_fut_act,1
зимовать,ipf,partcp_praes_act,1
злить,ipf,fin_praet_indic_act,5
злить,ipf,inf_act,3
злить,ipf,ger_praes_act,1
злиться,ipf,fin_praes_indic_med,20
злиться,ipf,fin_praet_indic_med,20
злиться,ipf,inf_med,8
злиться,ipf,fin_imper_med,5
злиться,ipf,ger_praes_med,5
злиться,ipf,fin_fut_med,2
злоупотребить,pf,fin_praet_indic_act,2
злоупотреблять,ipf,fin_praes_indic_act,8
злоупотреблять,ipf,fin_praet_indic_act,7
злоупотреблять,ipf,inf_act,4
злоупотреблять,ipf,ger_praes_act,3
злоупотреблять,ipf,fin_imper_act,1
знакомить,ipf,fin_praes_indic_act,15
знакомить,ipf,fin_praet_indic_act,14
знакомить,ipf,inf_act,4
знакомить,ipf,fin_fut_act,1
знакомиться,ipf,inf_med,29
знакомиться,ipf,fin_praet_indic_med,20
знакомиться,ipf,fin_praes_indic_med,19
знакомиться,ipf,fin_imper_med,17
знакомиться,ipf,ger_praes_med,5
знакомиться,ipf,fin_fut_med,2
знакомиться,ipf,partcp_praet_med,1
знакомиться,ipf,partcp_praes_med,1
знаменовать,ipf,fin_praet_indic_act,5
знаменовать,ipf,fin_praes_indic_act,4
знаменовать,ipf,ger_praes_act,1
знаменовать,ipf,partcp_praes_act,1
знаменоваться,ipf,fin_praet_indic_med,2
знаменоваться,ipf,fin_praes_indic_med,1
золотить,ipf,fin_praet_indic_act,4
золотить,ipf,inf_act,1
золотить,ipf,fin_imper_act,1
золотить,ipf,partcp_praet_pass,1
зондировать,ipf,inf_act,1
зондировать,ipf,fin_praes_indic_act,1
зреть,ipf,fin_praes_indic_act,10
зреть,ipf,fin_praet_indic_act,6
зреть,ipf,partcp_praes_act,3
зреть,ipf,inf_act,1
зубрить,ipf,fin_praet_indic_act,8
зубрить,ipf,inf_act,3
зубрить,ipf,fin_imper_act,1
зябнуть,ipf,fin_praet_indic_act,6
зябнуть,ipf,inf_act,2
зябнуть,ipf,partcp_praet_act,1
зябнуть,ipf,fin_praes_indic_act,1
зябнуть,ipf,partcp_praes_act,1
играть,ipf,fin_praet_indic_act,578
играть,ipf,fin_praes_indic_act,486
играть,ipf,inf_act,381
играть,ipf,fin_fut_act,45
играть,ipf,partcp_praes_act,38
играть,ipf,ger_praes_act,33
играть,ipf,partcp_praet_act,20
играть,ipf,fin_imper_act,13
играть,ipf,fin_fut_pass,1
играть,ipf,partcp_praet_pass,1
играть,ipf,fin_fut_indic_act,1
играть,pf,inf_act,1
идти,ipf,fin_praet_indic_act,2023
идти,ipf,fin_praes_indic_act,1738
идти,ipf,fin_imper_act,580
идти,ipf,inf_act,570
идти,ipf,partcp_praes_act,154
идти,ipf,ger_praes_act,58
идти,ipf,partcp_praet_act,55
идти,ipf,fin_fut_act,52
идти,ipf,fin_fut_indic_act,3
избавить,pf,inf_act,17
избавить,pf,fin_praet_indic_act,16
избавить,pf,fin_fut_indic_act,11
избавить,pf,fin_imper_act,6
избавить,pf,fin_fut_pass,6
избавить,pf,partcp_praet_pass,4
избавиться,pf,inf_med,86
избавиться,pf,fin_praet_indic_med,11
избавиться,pf,fin_fut_indic_med,7
избавиться,pf,fin_fut_med,2
избавиться,pf,ger_praet_med,1
избавлять,ipf,fin_praes_indic_act,11
избавлять,ipf,ger_praes_act,4
избавлять,ipf,inf_act,2
избавлять,ipf,fin_praet_indic_act,2
избавлять,ipf,partcp_praes_act,1
избавляться,ipf,fin_praes_indic_med,8
избавляться,ipf,fin_praet_indic_med,5
избавляться,ipf,inf_med,2
избавляться,ipf,fin_imper_med,1
избаловать,pf,partcp_praet_pass,27
избаловать,pf,fin_praet_indic_act,3
избаловаться,pf,fin_fut_indic_med,1
избаловаться,pf,fin_praet_indic_med,1
избаловаться,pf,inf_med,1
избегать,ipf,fin_praet_indic_act,44
избегать,ipf,inf_act,29
избегать,ipf,fin_praes_indic_act,17
избегать,ipf,ger_praes_act,11
избегать,ipf,fin_imper_act,5
избегать,ipf,partcp_praes_act,1
избегать,ipf,partcp_praet_act,1
избегать,ipf,fin_fut_act,1
избегать,pf,inf_act,3
избегать,pf,fin_fut_indic_act,1
избегнуть,pf,inf_act,3
избегнуть,pf,fin_praet_indic_act,2
избегнуть,pf,ger_praet_act,1
избежать,ipf,inf_act,1
избежать,pf,inf_act,93
избежать,pf,fin_praet_indic_act,23
избежать,pf,partcp_praet_act,3
избежать,pf,ger_praet_act,3
избежать,pf,fin_fut_indic_act,2
избежать,pf,inf_med,1
избивать,ipf,fin_praet_indic_act,10
избивать,ipf,fin_praes_indic_act,2
избивать,ipf,partcp_praes_pass,1
избивать,ipf,fin_fut_act,1
избирать,ipf,fin_praes_indic_act,6
избирать,ipf,fin_praet_indic_act,2
избирать,ipf,inf_act,1
избить,pf,fin_praet_indic_act,26
избить,pf,partcp_praet_pass,12
избить,pf,inf_act,8
избить,pf,fin_fut_indic_act,8
избить,pf,fin_fut_pass,2
избить,pf,fin_imper_act,1
избочениться,pf,fin_praet_indic_med,2
избрать,pf,partcp_praet_pass,46
избрать,pf,fin_praet_indic_act,39
избрать,pf,fin_fut_pass,22
избрать,pf,inf_act,9
избрать,pf,partcp_praet_act,7
избрать,pf,ger_praet_act,5
избрать,pf,fin_fut_indic_act,3
избрать,pf,fin_imper_act,2
избывать,ipf,fin_praes_indic_act,1
избыть,pf,inf_act,2
избыть,pf,partcp_praet_pass,1
изведать,pf,fin_praet_indic_act,2
изведывать,ipf,fin_praet_indic_act,1
изведывать,ipf,inf_pass,1
извергать,ipf,fin_praet_indic_act,2
извергать,ipf,ger_praes_act,2
извергать,ipf,fin_praes_indic_act,1
извергать,ipf,partcp_praes_act,1
извергаться,ipf,fin_praet_indic_med,1
извергаться,ipf,partcp_praes_med,1
извергнуть,pf,inf_act,1
извергнуть,pf,partcp_praet_pass,1
извергнуть,pf,fin_fut_indic_act,1
извериться,pf,fin_praet_indic_med,5
извернуться,pf,fin_praet_indic_med,3
извернуться,pf,inf_med,2
извернуться,pf,ger_praet_med,2
извести,pf,fin_praet_indic_act,4
извести,pf,inf_act,3
извести,pf,fin_fut_indic_act,1
известись,pf,fin_praet_indic_med,2
известить,pf,fin_praet_indic_act,5
известить,pf,inf_act,4
известить,pf,fin_fut_indic_act,4
известить,pf,fin_imper_act,2
известить,pf,partcp_praet_pass,2
известить,pf,fin_fut_pass,2
известить,pf,ger_praet_act,1
известковать,ipf,fin_praes_indic_act,1
извещать,ipf,fin_praet_indic_act,5
извещать,ipf,partcp_praes_act,4
извещать,ipf,partcp_praet_act,2
извещать,ipf,inf_act,2
извещать,ipf,fin_fut_act,1
извещать,ipf,ger_praes_act,1
извещать,ipf,fin_praes_indic_act,1
извиваться,ipf,partcp_praes_med,7
извиваться,ipf,ger_praes_med,6
извиваться,ipf,fin_praet_indic_med,6
извиваться,ipf,fin_praes_indic_med,3
извиваться,ipf,partcp_praet_med,1
извинить,pf,fin_imper_act,262
извинить,pf,inf_act,10
извинить,pf,fin_fut_imper_act,1
извинить,pf,fin_fut_indic_act,1
извиниться,pf,inf_med,18
извиниться,pf,fin_praet_indic_med,13
извиниться,pf,ger_praet_med,4
извиниться,pf,fin_imper_med,2
извиниться,pf,fin_fut_indic_med,1
извинять,ipf,fin_praes_indic_act,4
извинять,ipf,inf_act,1
извинять,ipf,partcp_praes_act,1
извиняться,ipf,fin_praes_indic_med,42
извиняться,ipf,fin_praet_indic_med,18
извиняться,ipf,inf_med,9
извиняться,ipf,partcp_praes_med,8
извиняться,ipf,ger_praes_med,6
извиняться,ipf,fin_fut_indic_med,1
извить,pf,partcp_praet_pass,2
извлекать,ipf,inf_act,15
извлекать,ipf,fin_praet_indic_act,11
извлекать,ipf,fin_praes_indic_act,6
извлекать,ipf,partcp_praes_pass,3
извлекать,ipf,ger_praes_act,3
извлекать,ipf,partcp_praes_act,1
извлекать,ipf,fin_fut_pass,1
извлекать,ipf,fin_fut_act,1
извлекаться,ipf,fin_praes_indic_med,4
извлекаться,ipf,fin_praet_indic_med,1
извлечь,pf,fin_praet_indic_act,37
извлечь,pf,inf_act,21
извлечь,pf,fin_fut_indic_act,6
извлечь,pf,fin_fut_pass,6
извлечь,pf,fin_fut_act,2
извлечь,pf,fin_imper_act,1
извлечь,pf,partcp_praet_pass,1
извлечься,pf,fin_fut_indic_med,1
изводить,ipf,fin_praes_indic_act,5
изводить,ipf,fin_praet_indic_act,4
изворачиваться,ipf,inf_med,7
изворачиваться,ipf,fin_praet_indic_med,3
изворачиваться,ipf,fin_praes_indic_med,2
извратить,pf,partcp_praet_pass,4
извратиться,pf,fin_praet_indic_med,1
извращать,ipf,fin_praes_indic_act,4
извращать,ipf,fin_praet_indic_act,1
извращать,ipf,ger_praes_act,1
изгадить,pf,fin_praet_indic_act,1
изгадить,pf,partcp_praet_pass,1
изгваздаться,pf,fin_praet_indic_med,1
изгибать,ipf,fin_praet_indic_act,4
изгибаться,ipf,fin_praes_indic_med,7
изгибаться,ipf,ger_praes_med,6
изгибаться,ipf,partcp_praes_med,4
изгибаться,ipf,fin_praet_indic_med,3
изгладиться,pf,inf_med,1
изгладиться,pf,partcp_praet_med,1
изглаживаться,ipf,fin_praet_indic_med,1
изглаживаться,ipf,fin_praes_indic_med,1
изглодать,pf,partcp_praet_pass,3
изгнать,pf,partcp_praet_pass,14
изгнать,pf,fin_praet_indic_act,11
изгнать,pf,inf_act,6
изгнать,pf,fin_fut_pass,6
изгнать,pf,fin_fut_indic_act,2
изгнать,pf,ger_praet_act,1
изгнивать,ipf,fin_praet_indic_act,1
изгнивать,ipf,partcp_praes_act,1
изгонять,ipf,fin_praet_indic_act,4
изгонять,ipf,fin_praes_indic_act,3
изгонять,ipf,partcp_praet_act,1
изгонять,ipf,partcp_praes_act,1
изгонять,ipf,partcp_praes_pass,1
изготавливать,ipf,fin_praes_indic_act,11
изготавливать,ipf,fin_praet_indic_act,8
изготавливать,ipf,inf_act,7
изготавливать,ipf,partcp_praes_pass,5
изготавливать,ipf,fin_fut_act,1
изготавливаться,ipf,fin_praet_indic_med,7
изготавливаться,ipf,fin_praes_indic_med,4
изготавливаться,ipf,ger_praes_med,1
изготовить,pf,partcp_praet_pass,66
изготовить,pf,inf_act,23
изготовить,pf,fin_praet_indic_act,12
изготовить,pf,fin_fut_pass,10
изготовить,pf,fin_fut_indic_act,3
изготовить,pf,ger_praet_act,2
изготовить,pf,partcp_praet_act,1
изготовить,pf,fin_fut_act,1
изготовиться,pf,fin_praet_indic_med,7
изготовиться,pf,partcp_praet_med,1
изготовлять,ipf,fin_praet_indic_act,12
изготовлять,ipf,fin_praes_indic_act,8
изготовлять,ipf,inf_act,6
изготовлять,ipf,ger_praes_act,3
изготовлять,ipf,partcp_praet_act,2
изготовлять,ipf,fin_praes_indic_pass,1
изготовлять,ipf,partcp_praes_pass,1
изготовлять,ipf,fin_fut_act,1
изготовляться,ipf,fin_praet_indic_med,5
изготовляться,ipf,fin_praes_indic_med,3
изготовляться,ipf,partcp_praet_med,1
изгрызать,ipf,partcp_praes_pass,1
изгрызать,ipf,ger_praes_act,1
изгрызть,pf,partcp_praet_pass,2
изгрызть,pf,fin_praet_indic_act,1
изгрызть,pf,partcp_praet_act,1
изгрызть,pf,fin_fut_pass,1
издавать,ipf,fin_praet_indic_act,24
издавать,ipf,fin_praes_indic_act,21
издавать,ipf,ger_praes_act,16
издавать,ipf,inf_act,7
издавать,ipf,partcp_praes_pass,6
издавать,ipf,partcp_praes_act,3
издавать,ipf,partcp_praet_act,2
издавать,ipf,fin_praet_indic_pass,1
издать,pf,partcp_praet_pass,43
издать,pf,fin_praet_indic_act,41
издать,pf,inf_act,11
издать,pf,fin_fut_pass,11
издать,pf,fin_fut_indic_act,4
издать,pf,ger_praet_act,3
издать,pf,fin_imper_act,1
издать,pf,fin_fut_act,1
издержаться,pf,partcp_praet_med,1
издолбить,pf,partcp_praet_pass,1
издохнуть,pf,fin_praet_indic_act,7
издыхать,ipf,inf_act,2
издыхать,ipf,fin_praes_indic_act,2
издыхать,ipf,fin_praet_indic_act,1
издыхать,ipf,partcp_praes_act,1
изжарить,pf,inf_act,2
изжарить,pf,fin_praet_indic_act,1
изжевать,pf,inf_act,1
изжевать,pf,fin_praet_indic_act,1
изжечь,pf,partcp_praet_pass,1
изживать,ipf,fin_praet_indic_act,1
изживать,ipf,fin_praes_indic_act,1
изжить,pf,partcp_praet_pass,6
изжить,pf,fin_praet_indic_act,4
изжить,pf,inf_act,4
изжить,pf,partcp_praet_act,1
изжить,pf,ger_praet_act,1
излавливать,ipf,fin_praet_indic_act,1
излагать,ipf,fin_praes_indic_act,15
излагать,ipf,inf_act,9
излагать,ipf,fin_praet_indic_act,8
излагать,ipf,partcp_praet_act,1
излагать,ipf,partcp_praes_act,1
изладить,pf,ger_praet_act,1
изладить,pf,fin_fut_indic_act,1
излечивать,ipf,fin_praet_indic_act,1
излечивать,ipf,fin_praes_indic_act,1
излечить,pf,inf_act,6
излечить,pf,partcp_praet_pass,1
излечиться,pf,inf_med,3
излечиться,pf,fin_fut_indic_med,1
излечиться,pf,partcp_praet_med,1
изливать,ipf,fin_praes_indic_act,3
изливать,ipf,inf_act,1
изливать,ipf,fin_imper_act,1
изливать,ipf,fin_praet_indic_act,1
изливать,ipf,ger_praes_act,1
изливаться,ipf,fin_praet_indic_med,2
изливаться,ipf,ger_praes_med,1
изливаться,ipf,fin_praes_indic_med,1
излиться,pf,fin_praet_indic_med,1
изловить,pf,fin_praet_indic_act,4
изловить,pf,inf_act,3
изловить,pf,fin_fut_pass,3
изловить,pf,ger_praet_act,1
изловить,pf,partcp_praet_pass,1
изловчиться,pf,fin_praet_indic_med,5
изловчиться,pf,inf_med,2
изловчиться,pf,fin_fut_indic_med,1
изловчиться,pf,partcp_praet_med,1
изловчиться,pf,ger_praet_med,1
изложить,pf,partcp_praet_pass,66
изложить,pf,fin_praet_indic_act,36
изложить,pf,inf_act,16
изложить,pf,fin_fut_pass,7
изложить,pf,fin_fut_indic_act,2
изломать,pf,partcp_praet_pass,6
изломать,pf,fin_praet_indic_act,4
излучать,ipf,fin_praet_indic_act,14
излучать,ipf,partcp_praes_act,11
излучать,ipf,fin_praes_indic_act,7
излучать,ipf,inf_act,5
излучать,ipf,partcp_praes_pass,4
излучать,ipf,partcp_praet_act,1
излучаться,ipf,fin_praet_indic_med,1
излучить,pf,partcp_praet_pass,1
измазать,pf,partcp_praet_pass,4
измазать,pf,fin_praet_indic_act,2
измазать,pf,fin_imper_act,1
измазать,pf,inf_act,1
измазать,pf,fin_fut_indic_act,1
измазаться,pf,ger_praet_med,1
измарать,pf,fin_fut_pass,1
изматывать,ipf,partcp_praes_act,4
изматывать,ipf,fin_praet_indic_act,2
изматывать,ipf,fin_fut_act,1
измельчать,ipf,partcp_praet_act,1
измельчать,ipf,fin_praes_indic_act,1
измельчаться,ipf,fin_praes_indic_med,2
измельчить,pf,partcp_praet_pass,7
измельчить,pf,inf_act,4
изменить,pf,inf_act,155
изменить,pf,fin_praet_indic_act,108
изменить,pf,partcp_praet_pass,48
изменить,pf,fin_fut_indic_act,27
изменить,pf,ger_praet_act,10
изменить,pf,fin_fut_pass,10
изменить,pf,partcp_praet_act,7
изменить,pf,fin_fut_act,3
изменить,pf,fin_imper_act,1
измениться,pf,fin_praet_indic_med,323
измениться,pf,fin_fut_indic_med,124
измениться,pf,inf_med,26
измениться,pf,partcp_praet_med,19
измениться,pf,fin_fut_med,2
измениться,pf,ger_praet_med,1
изменять,ipf,fin_praes_indic_act,24
изменять,ipf,inf_act,20
изменять,ipf,fin_praet_indic_act,14
изменять,ipf,ger_praes_act,9
изменять,ipf,partcp_praes_act,3
изменять,ipf,fin_imper_act,2
изменять,ipf,fin_fut_act,1
изменять,ipf,partcp_praet_act,1
изменяться,ipf,fin_praes_indic_med,40
изменяться,ipf,partcp_praes_med,22
изменяться,ipf,inf_med,12
изменяться,ipf,fin_praet_indic_med,7
изменяться,ipf,fin_fut_med,7
изменяться,ipf,ger_praes_med,1
измерить,pf,inf_act,20
измерить,pf,partcp_praet_pass,18
измерить,pf,fin_praet_indic_act,17
измерить,pf,ger_praet_act,7
измерить,pf,fin_fut_pass,1
измерить,pf,fin_fut_act,1
измерить,pf,fin_fut_indic_act,1
измерять,ipf,inf_act,11
измерять,ipf,fin_praes_indic_act,10
измерять,ipf,fin_praet_indic_act,9
измерять,ipf,partcp_praes_pass,2
измерять,ipf,ger_praes_act,1
измерять,ipf,partcp_praes_act,1
измокнуть,pf,fin_praet_indic_act,1
измолоть,pf,fin_fut_pass,1
измотать,pf,partcp_praet_pass,7
измотать,pf,fin_praet_indic_act,3
измотать,pf,fin_fut_pass,1
измотаться,pf,fin_fut_indic_med,1
измотаться,pf,fin_praet_indic_med,1
измусолить,pf,partcp_praet_pass,1
измучить,pf,partcp_praet_pass,32
измучить,pf,fin_praet_indic_act,3
измучить,pf,partcp_praet_act,2
измучить,pf,inf_act,1
измучиться,pf,fin_praet_indic_med,12
измучиться,pf,fin_fut_indic_med,1
измучиться,pf,inf_med,1
измыслить,pf,fin_praet_indic_act,2
измыслить,pf,inf_act,1
измыслить,pf,partcp_praet_pass,1
измять,pf,partcp_praet_pass,6
измяться,pf,fin_fut_indic_med,1
изнасиловать,pf,fin_praet_indic_act,7
изнасиловать,pf,inf_act,3
изнасиловать,pf,fin_fut_indic_act,3
изнашиваться,ipf,fin_praes_indic_med,10
изнежить,pf,partcp_praet_pass,3
изнежить,pf,partcp_praet_act,1
изнемогать,ipf,ger_praes_act,9
изнемогать,ipf,fin_praet_indic_act,6
изнемогать,ipf,partcp_praes_act,4
изнемогать,ipf,fin_praes_indic_act,1
изнемочь,pf,fin_praet_indic_act,7
изнемочь,pf,partcp_praet_act,2
изнизать,pf,partcp_praet_pass,1
изничтожать,ipf,fin_praet_indic_act,2
изничтожать,ipf,fin_praes_indic_act,1
изничтожить,pf,inf_act,1
изничтожить,pf,fin_praet_indic_act,1
износить,pf,partcp_praet_pass,10
износить,pf,fin_fut_indic_act,2
износить,pf,fin_praet_indic_act,1
износиться,pf,fin_praet_indic_med,3
износиться,pf,partcp_praet_med,2
изнурить,pf,partcp_praet_pass,4
изнурить,pf,fin_fut_pass,1
изнурять,ipf,partcp_praes_act,8
изнурять,ipf,fin_praet_indic_act,2
изнурять,ipf,fin_praes_indic_act,2
изнывать,ipf,ger_praes_act,7
изнывать,ipf,fin_praet_indic_act,5
изнывать,ipf,partcp_praes_act,2
