lemma,form,frequency
болтать,ipf,ger_praes_act,6
болтать,ipf,fin_fut_act,3
болтать,ipf,partcp_praet_act,2
болтать,ipf,fin_imper_act,2
болтать,ipf,partcp_praes_act,1
бормотать,ipf,fin_praet_indic_act,108
бормотать,ipf,fin_praes_indic_act,38
бормотать,ipf,ger_praes_act,32
бормотать,ipf,inf_act,11
бормотать,ipf,partcp_praes_act,2
бормотать,ipf,fin_fut_indic_act,1
бороздить,ipf,fin_praet_indic_act,2
бороздить,ipf,fin_praes_indic_act,1
бояться,ipf,fin_praes_indic_med,583
бояться,ipf,fin_praet_indic_med,503
бояться,ipf,fin_imper_med,106
бояться,ipf,inf_med,96
бояться,ipf,ger_praes_med,92
бояться,ipf,fin_fut_med,9
бояться,ipf,partcp_praes_med,7
бояться,ipf,partcp_praet_med,3
браковать,ipf,partcp_praet_pass,6
браковать,ipf,fin_praes_indic_act,2
браковать,ipf,fin_fut_act,1
бранить,ipf,fin_praet_indic_act,9
бранить,ipf,fin_praes_indic_act,3
бранить,ipf,inf_act,1
бранить,ipf,fin_imper_act,1
браниться,ipf,fin_praet_indic_med,5
браниться,ipf,inf_med,3
браниться,ipf,fin_praes_indic_med,1
брататься,ipf,fin_praes_indic_med,1
брататься,ipf,partcp_praes_med,1
брезгать,ipf,fin_praes_indic_act,2
брезгать,ipf,fin_imper_act,1
брезгать,ipf,fin_praet_indic_act,1
брезговать,ipf,fin_praet_indic_act,10
брезговать,ipf,fin_praes_indic_act,5
брезговать,ipf,inf_act,1
брезговать,ipf,fin_imper_act,1
бренчать,ipf,fin_praet_indic_act,4
бренчать,ipf,fin_praes_indic_act,3
брехать,ipf,fin_praes_indic_act,8
брехать,ipf,inf_act,1
брить,ipf,partcp_praet_pass,8
брить,ipf,fin_praes_indic_act,6
брить,ipf,fin_praet_indic_act,4
брить,ipf,partcp_praes_act,2
брить,ipf,inf_act,2
брить,ipf,partcp_praet_act,1
бриться,ipf,fin_praet_indic_med,17
бриться,ipf,fin_praes_indic_med,10
бриться,ipf,inf_med,8
