lemma,aspect,praes,fut,praet,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
бесить,ipf,0.3333333333333333,0.0,0.5833333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,2.1837517947710062e-05
беситься,ipf,0.7272727272727273,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.001772478540089e-05
беспокоить,ipf,0.42342342342342343,0.009009009009009009,0.35135135135135137,0.17117117117117117,0.009009009009009009,0.0,0.0,0.036036036036036036,0.0,0.0,0.0002019970410163181
беспокоиться,ipf,0.2331288343558282,0.012269938650306749,0.17177914110429449,0.19631901840490798,0.3558282208588957,0.03067484662576687,0.0,0.0,0.0,0.0,0.00029662628545639504
бетонировать,ipf,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,5.459379486927516e-06
бинтовать,ipf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
бить,ipf,0.2665615141955836,0.014195583596214511,0.38958990536277605,0.20031545741324921,0.052050473186119876,0.00473186119873817,0.017350157728706624,0.02050473186119874,0.03470031545741325,0.0,0.001153748864904015
биться,ipf,0.28888888888888886,0.014814814814814815,0.5481481481481482,0.1259259259259259,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0002456720769117382
благодарить,ipf,0.6298701298701299,0.006493506493506494,0.17532467532467533,0.12987012987012986,0.032467532467532464,0.025974025974025976,0.0,0.0,0.0,0.0,0.0002802481469956125
благословить,pf,0.0,0.2222222222222222,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,3.2756276921565095e-05
благословиться,pf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
благословлять,ipf,0.22727272727272727,0.0,0.36363636363636365,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,4.003544957080178e-05
благоустраиваться,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
благоустроить,pf,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.4558345298473376e-05
бледнеть,ipf,0.46153846153846156,0.0,0.23076923076923078,0.038461538461538464,0.0,0.19230769230769232,0.0,0.07692307692307693,0.0,0.0,4.731462222003847e-05
блекнуть,ipf,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-06
близиться,ipf,0.5652173913043478,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185524273311095e-05
блюсти,ipf,0.29411764705882354,0.0,0.23529411764705882,0.4117647058823529,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,3.0936483759255924e-05
богатеть,ipf,0.36363636363636365,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,2.001772478540089e-05
бодать,ipf,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.639586324618344e-06
бодрить,ipf,0.16666666666666666,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,0.0,2.1837517947710062e-05
божиться,ipf,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0918758973855031e-05
болтать,ipf,0.17647058823529413,0.029411764705882353,0.5490196078431373,0.13725490196078433,0.0196078431372549,0.058823529411764705,0.0196078431372549,0.00980392156862745,0.0,0.0,0.00018561890255553554
бормотать,ipf,0.19791666666666666,0.005208333333333333,0.5625,0.057291666666666664,0.0,0.16666666666666666,0.0,0.010416666666666666,0.0,0.0,0.000349400287163361
бороздить,ipf,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-06
бояться,ipf,0.4197264218862491,0.0064794816414686825,0.3621310295176386,0.06911447084233262,0.07631389488840892,0.06623470122390208,0.0,0.0,0.0,0.0,0.00252769270244744
браковать,ipf,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.6378138460782548e-05
бранить,ipf,0.21428571428571427,0.0,0.6428571428571429,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,2.5477104272328405e-05
браниться,ipf,0.1111111111111111,0.0,0.5555555555555556,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.6378138460782548e-05
брататься,ipf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
брезгать,ipf,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,7.279172649236688e-06
брезговать,ipf,0.29411764705882354,0.0,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,3.0936483759255924e-05
бренчать,ipf,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2738552136164203e-05
брехать,ipf,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.6378138460782548e-05
брить,ipf,0.2608695652173913,0.0,0.17391304347826086,0.08695652173913043,0.0,0.0,0.043478260869565216,0.08695652173913043,0.34782608695652173,0.0,4.185524273311095e-05
бриться,ipf,0.2857142857142857,0.0,0.4857142857142857,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,6.369276068082101e-05
бродить,ipf,0.23655913978494625,0.0,0.6075268817204301,0.08602150537634409,0.0,0.021505376344086023,0.03763440860215054,0.010752688172043012,0.0,0.0,0.000338481528189506
бронзировать,pf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.819793162309172e-06
бронировать,ipf,0.2857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,1.2738552136164203e-05
бронировать,pf,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.639586324618344e-06
бросать,ipf,0.2786259541984733,0.011450381679389313,0.3473282442748092,0.17938931297709923,0.08778625954198473,0.05725190839694656,0.003816793893129771,0.03435114503816794,0.0,0.0,0.00047678580852500305
бросаться,ipf,0.4117647058823529,0.023529411764705882,0.4235294117647059,0.09411764705882353,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.00015468241879627962
бросить,pf,0.0,0.07675194660734148,0.48164627363737483,0.14126807563959956,0.12569521690767518,0.025583982202447165,0.011123470522803115,0.0,0.13793103448275862,0.0,0.0016359940529159455
броситься,pf,0.0,0.048582995951417005,0.8663967611336032,0.07692307692307693,0.004048582995951417,0.004048582995951417,0.0,0.0,0.0,0.0,0.0004494889110903655
брюзжать,ipf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
бряцать,ipf,0.4,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,9.09896581154586e-06
бубнить,ipf,0.23333333333333334,0.0,0.6333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,5.459379486927516e-05
будить,ipf,0.14492753623188406,0.043478260869565216,0.36231884057971014,0.2898550724637681,0.11594202898550725,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.00012556572819933287
будоражить,ipf,0.2631578947368421,0.0,0.5789473684210527,0.0,0.0,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,3.457607008387427e-05
бунтовать,ipf,0.1,0.0,0.35,0.25,0.0,0.0,0.1,0.2,0.0,0.0,3.639586324618344e-05
буравить,ipf,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,7.279172649236688e-06
бурить,ipf,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.639586324618344e-06
бурчать,ipf,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1837517947710062e-05
бухнуть,pf,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6378138460782548e-05
ваксить,ipf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
валить,ipf,0.296875,0.015625,0.375,0.203125,0.09375,0.0,0.015625,0.0,0.0,0.0,0.00011646676238778701
валиться,ipf,0.34146341463414637,0.0,0.4146341463414634,0.17073170731707318,0.024390243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,7.461151965467606e-05
валять,ipf,0.08,0.02,0.06,0.18,0.64,0.02,0.0,0.0,0.0,0.0,9.098965811545859e-05
варить,ipf,0.23809523809523808,0.006802721088435374,0.3469387755102041,0.32653061224489793,0.047619047619047616,0.013605442176870748,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.0,0.0002675095948594483
вариться,ipf,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,2.5477104272328405e-05
вбегать,ipf,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1.4558345298473376e-05
вбежать,pf,0.0,0.02127659574468085,0.9148936170212766,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,8.553027862853108e-05
вбивать,ipf,0.2222222222222222,0.0,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.6378138460782548e-05
вбирать,ipf,0.29411764705882354,0.0,0.23529411764705882,0.0,0.0,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.0,0.0,3.0936483759255924e-05
вбить,pf,0.0,0.16666666666666666,0.36666666666666664,0.1,0.0,0.0,0.03333333333333333,0.0,0.3333333333333333,0.0,5.459379486927516e-05
вбросить,pf,0.0,0.125,0.625,0.125,0.0,0.125,0.0,0.0,0.0,0.0,1.4558345298473376e-05
вбухать,pf,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.459379486927516e-06
вбухивать,ipf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вваливать,ipf,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.819793162309172e-06
вваливаться,ipf,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09896581154586e-06
ввалить,pf,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.639586324618344e-06
ввалиться,pf,0.0,0.05555555555555555,0.8888888888888888,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,3.2756276921565095e-05
ввезти,pf,0.0,0.09090909090909091,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,2.001772478540089e-05
ввергать,ipf,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0918758973855031e-05
