lemma,aspect,nonpast,past,inf,imper,gerund,partcp.act.past,partcp.act.nonpast,partcp.pass.past,partcp.pass.nonpast,rel_usage
разобраться,pf,68,47,138,24,8,0,0,0,0,285
разойтись,pf,15,126,12,1,1,1,0,0,0,156
разорвать,pf,7,34,14,0,3,0,0,27,0,85
разочаровать,pf,11,11,8,0,0,0,0,27,0,57
разрабатывать,ipf,19,12,18,0,4,0,3,0,18,74
разработать,pf,46,47,48,1,1,5,0,140,0,288
разрешать,ipf,39,41,18,1,9,0,8,0,3,119
разрешить,pf,40,110,45,96,4,1,0,49,0,345
разрушать,ipf,28,11,9,1,4,0,4,0,0,57
разрушить,pf,15,38,28,0,1,1,0,90,0,173
разыскать,pf,6,32,34,1,5,0,0,1,0,79
раскалить,pf,1,1,1,0,0,1,0,73,0,77
раскрывать,ipf,20,11,7,2,8,0,2,0,4,54
раскрываться,ipf,32,10,8,0,1,0,0,0,0,51
раскрыть,pf,19,91,37,2,14,0,0,63,0,226
распахнуть,pf,14,52,7,1,8,0,0,60,0,142
расписаться,pf,6,27,21,9,0,0,0,0,0,63
располагать,ipf,59,30,9,1,10,0,11,0,0,120
располагаться,ipf,40,65,10,6,1,0,0,0,0,122
расположить,pf,14,4,11,0,0,0,0,274,0,303
расположиться,pf,2,48,2,0,4,0,0,0,0,56
распорядиться,pf,7,40,16,1,0,0,0,0,0,64
распространить,pf,7,13,10,0,2,0,0,164,0,196
распространяться,ipf,64,23,12,0,1,0,0,0,0,100
распустить,pf,7,24,8,0,7,2,0,25,0,73
рассердиться,pf,3,97,0,0,7,0,0,0,0,107
рассказать,pf,194,588,259,94,7,5,0,20,0,1167
рассказывать,ipf,304,642,221,56,43,3,8,0,1,1278
рассматривать,ipf,98,87,100,2,33,2,5,0,81,408
рассмотреть,pf,42,31,56,60,12,0,0,62,0,263
расспрашивать,ipf,10,51,42,1,0,0,0,0,0,104
расставаться,ipf,29,19,43,0,7,0,0,0,0,98
расставить,pf,9,22,6,0,16,1,0,21,0,75
расстаться,pf,19,63,46,2,1,0,0,0,0,131
расстегнуть,pf,7,27,10,0,7,0,0,29,0,80
расстреливать,ipf,16,22,21,0,2,0,0,0,2,63
расстрелять,pf,51,78,14,0,0,1,0,38,0,182
расстроить,pf,5,12,5,0,0,0,0,31,0,53
расстроиться,pf,3,47,2,0,0,0,0,0,0,52
рассчитать,pf,21,18,13,7,4,1,0,93,0,157
рассчитывать,ipf,78,77,74,6,15,0,1,0,0,251
растаять,pf,22,40,2,0,1,7,0,0,0,72
растеряться,pf,2,122,3,0,6,0,0,0,0,133
расти,ipf,275,227,59,6,0,4,69,0,0,640
расходиться,ipf,46,34,9,2,7,0,0,0,0,98
расширить,pf,16,20,41,0,1,0,0,41,0,119
расширять,ipf,15,9,15,1,9,0,2,0,3,54
расширяться,ipf,32,19,7,0,3,0,0,0,0,61
рвать,ipf,29,29,13,4,0,1,7,0,0,83
рваться,ipf,45,50,7,0,0,0,0,0,0,102
реагировать,ipf,46,41,25,0,1,0,6,0,0,119
реализовать,ipf,19,0,6,0,4,0,19,31,16,95
реализовать,pf,24,8,38,0,1,1,0,31,0,103
регулировать,ipf,16,6,21,0,3,0,27,0,7,80
резать,ipf,44,37,27,10,0,1,6,0,0,125
рекомендовать,ipf,48,27,8,0,1,0,0,9,8,101
рекомендоваться,ipf,65,4,0,0,1,0,0,0,0,70
репетировать,ipf,10,30,11,0,3,0,0,0,0,54
решать,ipf,122,49,129,13,10,1,22,0,20,366
решаться,ipf,94,65,11,1,8,0,0,0,0,179
решить,pf,137,1278,160,3,55,22,0,115,0,1770
решиться,pf,22,134,20,0,4,0,0,0,0,180
рисовать,ipf,45,75,43,2,4,1,0,5,2,177
родить,pf,16,77,16,1,3,3,0,59,0,175
родиться,pf,16,389,23,8,3,3,0,0,0,442
рожать,ipf,10,13,28,1,0,3,1,0,0,56
рождаться,ipf,73,44,2,0,1,0,0,0,0,120
рубить,ipf,34,19,25,4,1,2,1,5,0,91
ругать,ipf,35,71,38,5,9,0,1,0,0,159
ругаться,ipf,36,83,29,5,11,0,0,0,0,164
рушиться,ipf,30,18,1,0,1,0,0,0,0,50
рыть,ipf,21,16,16,0,1,2,0,0,0,56
садиться,ipf,135,114,33,169,19,0,0,0,0,470
сажать,ipf,50,48,36,4,3,0,0,0,0,141
сбежать,pf,12,103,19,3,2,15,0,0,0,154
сбить,pf,16,53,23,1,5,2,0,38,0,138
сбрасывать,ipf,11,22,12,2,11,0,0,0,1,59
сбросить,pf,21,61,27,2,6,1,0,5,0,123
свалить,pf,10,25,14,1,4,1,0,12,0,67
свалиться,pf,15,81,10,0,2,0,0,0,0,108
сварить,pf,10,22,13,0,0,0,0,21,0,66
свернуть,pf,7,98,25,2,5,1,0,13,0,151
свести,pf,18,48,44,1,1,1,0,13,0,126
светить,ipf,57,50,5,5,1,0,1,0,0,119
свидетельствовать,ipf,150,21,10,0,2,2,27,0,0,212
свисать,ipf,4,27,0,0,0,3,18,0,0,52
свистеть,ipf,17,33,9,1,3,2,1,0,0,66
сводить,ipf,32,45,13,1,21,6,7,0,2,127
сводиться,ipf,44,30,2,0,0,0,0,0,0,76
связать,pf,53,35,35,2,1,3,0,692,0,821
связаться,pf,1,34,15,8,0,0,0,0,0,58
