token,lemma,aspect,form,transitivity,number,tense,mood,person,voice
означает,означать,ipf,fin,tran,sg,praes,indic,3,act
отказаться,отказаться,pf,inf,intr,,,,,med
решил,решить,pf,fin,tran,sg,praet,indic,,act
произошли,произойти,pf,fin,intr,pl,praet,indic,,act
означает,означать,ipf,fin,tran,sg,praes,indic,3,act
рассердил,рассердить,pf,fin,tran,sg,praet,indic,,act
сэкономить,сэкономить,pf,inf,tran,,,,,act
работая,работать,ipf,ger,intr,,praes,,,act
отправляется,отправляться,ipf,fin,intr,sg,praes,indic,3,med
получал,получать,ipf,fin,tran,sg,praet,indic,,act
просидел,просидеть,pf,fin,tran,sg,praet,indic,,act
заставляет,заставлять,ipf,fin,tran,sg,praes,indic,3,act
остановились,остановиться,pf,fin,intr,pl,praet,indic,,med
послал,послать,pf,fin,tran,sg,praet,indic,,act
пожелаете,пожелать,pf,fin,tran,pl,fut,indic,2,act
теряйте,терять,ipf,fin,tran,pl,,imper,2,act
побеспокоить,побеспокоить,pf,inf,tran,,,,,act
приобрести,приобрести,pf,inf,tran,,,,,act
спрашивает,спрашивать,ipf,fin,tran,sg,praes,indic,3,act
спросил,спросить,pf,fin,tran,sg,praet,indic,,act
оказалась,оказаться,pf,fin,intr,sg,praet,indic,,med
представится,представиться,pf,fin,intr,sg,fut,indic,3,med
спрашивает,спрашивать,ipf,fin,tran,sg,praes,indic,3,act
поместим,поместить,pf,fin,tran,pl,fut,indic,1,act
сомкнули,сомкнуть,pf,fin,tran,pl,praet,indic,,act
объяснить,объяснить,pf,inf,tran,,,,,act
собралось,собраться,pf,fin,intr,sg,praet,indic,,med
соврали,соврать,pf,fin,tran,pl,praet,indic,,act
получить,получить,pf,inf,tran,,,,,act
ответил,ответить,pf,fin,intr,sg,praet,indic,,act
отличить,отличить,pf,inf,tran,,,,,act
ответить,ответить,pf,inf,intr,,,,,act
обедает,обедать,ipf,fin,intr,sg,praes,indic,3,act
видите,видеть,ipf,fin,tran,pl,praes,indic,2,act
обращается,обращаться,ipf,fin,intr,sg,praes,indic,3,med
выглядит,выглядеть,ipf,fin,intr,sg,praes,indic,3,act
считать,считать,ipf,inf,tran,,,,,act
пришли,прийти,pf,fin,intr,pl,praet,indic,,act
стал,стать,pf,fin,intr,sg,praet,indic,,act
возвращаете,возвращать,ipf,fin,tran,pl,praes,indic,2,act
решил,решить,pf,fin,tran,sg,praet,indic,,act
пропадает,пропадать,ipf,fin,intr,sg,praes,indic,3,act
позавтракать,позавтракать,pf,inf,intr,,,,,act
предлагает,предлагать,ipf,fin,tran,sg,praes,indic,3,act
остался,остаться,pf,fin,intr,sg,praet,indic,,med
потерял,потерять,pf,fin,tran,sg,praet,indic,,act
оставлять,оставлять,ipf,inf,tran,,,,,act
получите,получить,pf,fin,tran,pl,,imper,2,act
приподнял,приподнять,pf,fin,tran,sg,praet,indic,,act
объясняет,объяснять,ipf,fin,tran,sg,praes,indic,3,act
делать,делать,ipf,inf,tran,,,,,act
потерял,потерять,pf,fin,tran,sg,praet,indic,,act
сдаёмся,сдаваться,ipf,fin,intr,pl,praes,indic,1,med
зайдёт,зайти,pf,fin,intr,sg,fut,indic,3,act
пришла,прийти,pf,fin,intr,sg,praet,indic,,act
потерял,потерять,pf,fin,tran,sg,praet,indic,,act
положили,положить,pf,fin,tran,pl,praet,indic,,act
обратит,обратить,pf,fin,tran,sg,fut,indic,3,act
сдаётся,сдаваться,ipf,fin,intr,sg,praes,indic,3,med
принёс,принести,pf,fin,tran,sg,praet,indic,,act
кормила,кормить,ipf,fin,tran,sg,praet,indic,,act
называется,называться,ipf,fin,intr,sg,praes,indic,3,med
шла,идти,ipf,fin,intr,sg,praet,indic,,act
принимающей,принимать,ipf,partcp,tran,sg,praes,,,act
намекнуть,намекнуть,pf,inf,intr,,,,,act
разыграете,разыграть,pf,fin,tran,pl,fut,indic,2,act
решил,решить,pf,fin,tran,sg,praet,indic,,act
собираемся,собираться,ipf,fin,intr,pl,praes,indic,1,med
остановиться,остановиться,pf,inf,intr,,,,,med
спросил,спросить,pf,fin,tran,sg,praet,indic,,act
следовало,следовать,ipf,fin,intr,sg,praet,indic,,act
послушайте,послушать,pf,fin,tran,pl,,imper,2,act
кормить,кормить,ipf,inf,tran,,,,,act
выгнал,выгнать,pf,fin,tran,sg,praet,indic,,act
росла,расти,ipf,fin,intr,sg,praet,indic,,act
завешивает,завешивать,ipf,fin,tran,sg,praes,indic,3,act
покидая,покидать,ipf,ger,tran,,praes,,,act
входит,входить,ipf,fin,intr,sg,praes,indic,3,act
уносили,уносить,ipf,fin,tran,pl,praet,indic,,act
купить,купить,pf,inf,tran,,,,,act
росла,расти,ipf,fin,intr,sg,praet,indic,,act
копим,копить,ipf,fin,tran,pl,praes,indic,1,act
показывает,показывать,ipf,fin,tran,sg,praes,indic,3,act
спрашивает,спрашивать,ipf,fin,tran,sg,praes,indic,3,act
порекомендует,порекомендовать,pf,fin,tran,sg,fut,indic,3,act
стоящему,стоять,ipf,partcp,intr,sg,praes,,,act
вижу,видеть,ipf,fin,tran,sg,praes,indic,1,act
отказали,отказать,pf,fin,intr,pl,praet,indic,,act
написано,написать,pf,partcp,tran,sg,praet,,,pass
пропускает,пропускать,ipf,fin,tran,sg,praes,indic,3,act
снять,снять,pf,inf,tran,,,,,act
пропускает,пропускать,ipf,fin,tran,sg,praes,indic,3,act
спрашивает,спрашивать,ipf,fin,tran,sg,praes,indic,3,act
думаете,думать,ipf,fin,intr,pl,praes,indic,2,act
выношу,выносить,ipf,fin,tran,sg,praes,indic,1,act
подъезжает,подъезжать,ipf,fin,intr,sg,praes,indic,3,act
выглядит,выглядеть,ipf,fin,intr,sg,praes,indic,3,act
обращается,обращаться,ipf,fin,intr,sg,praes,indic,3,med
обслуживает,обслуживать,ipf,fin,tran,sg,praes,indic,3,act
думаю,думать,ipf,fin,intr,sg,praes,indic,1,act
надеюсь,надеяться,ipf,fin,intr,sg,praes,indic,1,med
выспаться,выспаться,pf,inf,intr,,,,,med
играть,играть,ipf,inf,tran,,,,,act
приедет,приехать,pf,fin,intr,sg,fut,indic,3,act
беспокоят,беспокоить,ipf,fin,tran,pl,praes,indic,3,act
